Node	AGS	SW620	DU145	COLO205
SRC	1	1	1	1
CSK	1	1	1	1
CHUK	1	1	1	1
RAC_f	1	1	1	1
DUSP1	1	0	0	1
TGFBR2	0	1	1	1
ILR_f	1	1	1	1
SYK	1	1	1	1
IRAK1	1	1	1	1
SHC1	1	0	1	1
JAK_f	0	1	1	0
CBPp300_c	0	1	1	1
SKP2	1	1	1	1
TP53	0	0	0	0
SMAD7	0	1	0	0
SMAD6	1	0	1	1
DKK_f	1	0	1	0
TCF7_f	1	0	1	0
DKK_g	1	0	1	0
MYC	1	1	1	1
CCND1	1	1	1	1
EGR1	0	1	0	1
MMP_f	1	1	1	1
PTEN_g	0	1	0	1
RTPK_f	1	1	1	1
CTNNB1	1	1	1	1
LEF1	1	1	1	1
SFRP1	0	0	0	0
FZD_f	1	1	1	1
CASP8	0	0	0	0
REL_f	1	1	1	1
NFKB_f	1	1	1	1
DVL_f	1	1	1	0
LRP_f	0	1	0	1
BTRC	1	0	1	0
CK1_f	1	0	1	0
AXIN1	1	0	1	0
mTORC2_c	0	1	0	0
PDPK1	1	1	1	1
MEK_f	1	1	1	1
CYCS	0	0	0	0
CASP9	0	0	0	0
GSK3_f	0	0	0	0
IRS1	0	0	0	0
MDM2	1	1	1	1
AKT_f	1	1	1	1
BCL2	1	1	1	1
RAF_f	1	1	1	1
mTORC1_c	1	1	1	1
RHEB	1	1	1	1
RTPK_g	0	0	1	0
PTEN	0	1	0	0
CASP3	0	0	0	0
PIK3CA	1	1	1	1
CREBBP	1	1	1	1
PTPN11	1	0	1	1
KRAS	1	1	1	1
MAP2K4	1	1	1	1
MAP2K7	1	1	1	1
MAPK14	0	1	1	0
JNK_f	0	1	1	1
MAP2K3	1	1	0	1
ERK_f	1	1	1	1
LIF	1	1	1	1
PPP1CA	0	0	0	0
GAB_f	1	0	1	1
SOS1	1	1	0	0
PRKCA	1	1	1	1
VAV1	1	1	1	1
PLCG1	1	1	1	1
PRKCD	1	1	1	1
RSK_f	1	1	1	1
S6K_f	1	1	1	1
PLK1	1	1	1	1
ILK	1	1	1	1
SOCS1	1	0	0	1
DUSP6	1	1	1	1
STAT3	1	1	1	1
LIMK2	1	0	0	0
EP300	0	1	1	1
STAT1	1	0	0	1
IKBKB	1	1	0	1
SRF	1	1	1	1
PIAS1	0	1	1	0
TRAF6	1	1	1	1
SOCS1_g	1	0	0	1
ISGF3_c	0	0	0	0
STAT2	0	1	1	0
CFLAR	1	1	1	1
SMAD2	1	0	1	1
MDM2_g	1	1	1	1
BAX	0	0	0	0
PRKACA	1	1	1	1
TGFB1	0	1	1	1
MAP3K8	1	1	0	1
TSC_f	0	0	0	0
SMAD4	1	0	1	1
BAD	0	0	0	0
MAP3K5	0	0	0	0
AKT1S1	0	0	0	0
SKI	0	0	0	0
SMAD3	1	1	0	1
MAPKAPK2	0	1	1	0
DUSP1_g	1	1	1	1
MSK_f	1	1	1	1
GRAP2	1	0	0	1
TAB_f	1	1	0	1
ATF2	0	1	1	0
SMAD5	1	0	1	1
SMAD1	0	0	0	0
FOS	1	1	1	1
JUN	0	1	1	1
MAP3K7	1	1	0	1
NLK	1	1	0	1
SMAD7_g	1	0	1	1
SMAD6_g	1	0	1	1
AP1_c	1	1	1	1
ACVR1	1	0	1	1
PTPN6	1	1	1	1
CDC42	1	1	1	1
GRB2	1	0	1	1
TGFBR1	0	1	1	1
SMURF1	0	1	0	0
SMURF2	0	1	0	0
RHOA	1	0	1	0
BMPR2	1	0	1	1
PARD6A	0	1	1	1
DAAM1	1	1	1	0
SFRP1_g	0	0	0	0
PPM1A	0	1	0	0
CFL_f	1	1	1	1
PAK1	1	1	1	1
MAP3K11	1	1	1	1
MAP3K4	1	1	1	1
LIMK1	1	1	1	1
ROCK1	1	0	1	0
ITCH	0	1	1	1
ARHGAP24	1	0	1	0
TIAM1	0	1	0	1
RND3	1	0	1	0
MAPK8IP3	1	0	1	0
MXD1	0	0	0	0
PIP3	1	1	1	1
