Combination	AGS	COLO205	DU145	SW620
5Z-60	FALSE	FALSE	FALSE	FALSE
5Z-AK	FALSE	FALSE	FALSE	FALSE
5Z-BI	FALSE	FALSE	FALSE	FALSE
5Z-CT	FALSE	FALSE	TRUE	FALSE
5Z-D1	TRUE	FALSE	TRUE	FALSE
5Z-D4	TRUE	FALSE	FALSE	FALSE
5Z-F4	TRUE	FALSE	TRUE	FALSE
5Z-G2	FALSE	FALSE	FALSE	FALSE
5Z-G4	FALSE	FALSE	FALSE	FALSE
5Z-JN	FALSE	FALSE	FALSE	FALSE
5Z-P5	FALSE	FALSE	FALSE	FALSE
5Z-PD	FALSE	FALSE	FALSE	FALSE
5Z-PI	TRUE	FALSE	TRUE	FALSE
5Z-PK	FALSE	FALSE	FALSE	FALSE
5Z-RU	FALSE	FALSE	FALSE	FALSE
5Z-SB	TRUE	FALSE	TRUE	FALSE
5Z-ST	FALSE	FALSE	FALSE	FALSE
60-D4	FALSE	FALSE	FALSE	FALSE
60-F4	FALSE	FALSE	FALSE	FALSE
60-G2	FALSE	FALSE	FALSE	FALSE
60-G4	FALSE	FALSE	FALSE	FALSE
60-P5	FALSE	FALSE	FALSE	FALSE
60-RU	FALSE	FALSE	FALSE	FALSE
60-SB	FALSE	FALSE	FALSE	FALSE
60-ST	FALSE	FALSE	FALSE	FALSE
AK-60	FALSE	TRUE	FALSE	FALSE
AK-BI	TRUE	TRUE	TRUE	TRUE
AK-CT	FALSE	FALSE	FALSE	FALSE
AK-D1	TRUE	FALSE	FALSE	FALSE
AK-D4	FALSE	FALSE	FALSE	FALSE
AK-F4	FALSE	FALSE	FALSE	FALSE
AK-G2	FALSE	FALSE	FALSE	FALSE
AK-G4	FALSE	FALSE	FALSE	FALSE
AK-JN	FALSE	FALSE	FALSE	FALSE
AK-P5	FALSE	FALSE	FALSE	FALSE
AK-PD	FALSE	FALSE	FALSE	FALSE
AK-PI	FALSE	TRUE	FALSE	FALSE
AK-PK	FALSE	FALSE	FALSE	FALSE
AK-RU	FALSE	FALSE	FALSE	FALSE
AK-SB	FALSE	FALSE	FALSE	FALSE
AK-ST	FALSE	FALSE	FALSE	FALSE
BI-60	FALSE	FALSE	FALSE	FALSE
BI-CT	FALSE	FALSE	FALSE	FALSE
BI-D1	TRUE	FALSE	FALSE	FALSE
BI-D4	FALSE	FALSE	FALSE	FALSE
BI-F4	FALSE	FALSE	FALSE	FALSE
BI-G2	FALSE	FALSE	FALSE	FALSE
BI-G4	FALSE	FALSE	FALSE	FALSE
BI-JN	FALSE	FALSE	FALSE	FALSE
BI-P5	FALSE	TRUE	FALSE	FALSE
BI-PD	FALSE	FALSE	FALSE	FALSE
BI-PI	TRUE	TRUE	TRUE	TRUE
BI-PK	FALSE	FALSE	FALSE	FALSE
BI-RU	FALSE	FALSE	FALSE	FALSE
BI-SB	FALSE	FALSE	FALSE	FALSE
BI-ST	FALSE	FALSE	FALSE	FALSE
CT-60	FALSE	FALSE	FALSE	FALSE
CT-D1	FALSE	FALSE	FALSE	TRUE
CT-D4	FALSE	FALSE	FALSE	FALSE
CT-F4	FALSE	FALSE	FALSE	FALSE
CT-G2	FALSE	FALSE	FALSE	FALSE
CT-G4	FALSE	FALSE	FALSE	FALSE
CT-JN	FALSE	FALSE	FALSE	FALSE
CT-P5	FALSE	FALSE	FALSE	FALSE
CT-PD	FALSE	FALSE	FALSE	FALSE
CT-PI	FALSE	FALSE	FALSE	FALSE
CT-PK	FALSE	FALSE	FALSE	FALSE
CT-RU	FALSE	FALSE	FALSE	FALSE
CT-SB	FALSE	FALSE	FALSE	FALSE
CT-ST	FALSE	FALSE	FALSE	FALSE
D1-60	FALSE	FALSE	FALSE	FALSE
D1-D4	FALSE	FALSE	FALSE	FALSE
D1-F4	FALSE	FALSE	FALSE	FALSE
D1-G2	FALSE	FALSE	FALSE	FALSE
D1-G4	FALSE	FALSE	FALSE	FALSE
D1-P5	FALSE	FALSE	FALSE	FALSE
D1-RU	FALSE	FALSE	FALSE	FALSE
D1-SB	FALSE	FALSE	FALSE	FALSE
D1-ST	FALSE	FALSE	FALSE	FALSE
D4-F4	FALSE	FALSE	FALSE	FALSE
D4-G2	FALSE	FALSE	FALSE	FALSE
D4-G4	FALSE	FALSE	FALSE	FALSE
D4-P5	FALSE	FALSE	FALSE	FALSE
D4-ST	FALSE	FALSE	FALSE	FALSE
F4-G2	FALSE	FALSE	FALSE	FALSE
F4-G4	FALSE	FALSE	FALSE	FALSE
F4-P5	FALSE	FALSE	FALSE	FALSE
F4-ST	FALSE	FALSE	FALSE	FALSE
G2-G4	FALSE	FALSE	FALSE	FALSE
G2-P5	FALSE	TRUE	TRUE	FALSE
G4-P5	FALSE	FALSE	FALSE	FALSE
JN-60	FALSE	FALSE	FALSE	FALSE
JN-D1	TRUE	FALSE	TRUE	TRUE
JN-D4	FALSE	FALSE	FALSE	FALSE
JN-F4	FALSE	FALSE	FALSE	FALSE
JN-G2	FALSE	FALSE	FALSE	FALSE
JN-G4	FALSE	FALSE	FALSE	FALSE
JN-P5	FALSE	FALSE	TRUE	TRUE
JN-RU	FALSE	FALSE	FALSE	FALSE
JN-SB	FALSE	FALSE	FALSE	FALSE
JN-ST	FALSE	FALSE	FALSE	FALSE
PD-60	FALSE	FALSE	FALSE	FALSE
PD-D1	FALSE	FALSE	FALSE	FALSE
PD-D4	FALSE	FALSE	FALSE	FALSE
PD-F4	FALSE	FALSE	FALSE	FALSE
PD-G2	TRUE	TRUE	TRUE	TRUE
PD-G4	FALSE	FALSE	FALSE	FALSE
PD-JN	FALSE	FALSE	FALSE	FALSE
PD-P5	FALSE	FALSE	TRUE	FALSE
PD-PI	TRUE	FALSE	TRUE	FALSE
PD-PK	FALSE	FALSE	FALSE	FALSE
PD-RU	FALSE	FALSE	FALSE	FALSE
PD-SB	FALSE	FALSE	FALSE	FALSE
PD-ST	FALSE	FALSE	FALSE	FALSE
PI-60	FALSE	FALSE	FALSE	FALSE
PI-D1	TRUE	FALSE	TRUE	TRUE
PI-D4	FALSE	FALSE	FALSE	FALSE
PI-F4	FALSE	FALSE	FALSE	FALSE
PI-G2	TRUE	FALSE	TRUE	TRUE
PI-G4	FALSE	FALSE	FALSE	FALSE
PI-JN	FALSE	FALSE	FALSE	TRUE
PI-P5	FALSE	FALSE	TRUE	FALSE
PI-PK	FALSE	FALSE	FALSE	FALSE
PI-RU	FALSE	FALSE	FALSE	FALSE
