Node	HGNC.symbols
ACVR1	ACVR1
AKT_f	AKT1, AKT2, AKT3
AKT1S1	AKT1S1
AP1_c	JUN, FOS, ATF2, SMAD3, SMAD4
ARHGAP24	ARHGAP24
ATF2	ATF2
AXIN1	AXIN1
BAD	BAD
BAX	BAX
BCL2	BCL2
BMPR2	BMPR2
BTRC	BTRC
CASP3	CASP3
CASP8	CASP8
CASP9	CASP9
CBPp300_c	CREBBP, EP300
CCND1	CCND1
CDC42	CDC42
CFL_f	CFL1, CFL2
CFLAR	CFLAR
CHUK	CHUK
CK1_f	CSNK1A1, CSNK1D, CSNK1E
CREBBP	CREBBP
CSK	CSK
CTNNB1	CTNNB1
CYCS	CYCS
DAAM1	DAAM1
DKK_f	DKK1, DKK2, DKK3, DKK4
DKK_g	DKK1, DKK2, DKK3, DKK4
DUSP1	DUSP1
DUSP1_g	DUSP1
DUSP6	DUSP6
DVL_f	DVL1, DVL2, DVL3
EGR1	EGR1
EP300	EP300
ERK_f	MAPK3, MAPK1
FOS	FOS
FOXO_f	FOXO1, FOXO3, FOXO4
FZD_f	FZD1, FZD2, FZD3, FZD4, FZD5, FZD6, FZD7, FZD8, FZD9, FZD10
GAB_f	GAB1, GAB2
GRAP2	GRAP2
GRB2	GRB2
GSK3_f	GSK3A, GSK3B
IKBKB	IKBKB
ILK	ILK
ILR_f	LIFR, IL6ST, IL6R
IRAK1	IRAK1
IRS1	IRS1
ISGF3_c	STAT1, STAT2
ITCH	ITCH
JAK_f	JAK1, JAK2
JNK_f	MAPK8, MAPK9
JUN	JUN
KRAS	KRAS
LEF1	LEF1
LIF	LIF
LIMK1	LIMK1
LIMK2	LIMK2
LRP_f	LRP5, LRP6
MAP2K3	MAP2K3
MAP2K4	MAP2K4
MAP2K7	MAP2K7
MAP3K11	MAP3K11
MAP3K4	MAP3K4
MAP3K5	MAP3K5
MAP3K7	MAP3K7
MAP3K8	MAP3K8
MAPK14	MAPK14
MAPK8IP3	MAPK8IP3
MAPKAPK2	MAPKAPK2
MDM2	MDM2
MDM2_g	MDM2
MEK_f	MAP2K1, MAP2K2
MMP_f	MMP2, MMP7, MMP9
MSK_f	RPS6KA4, RPS6KA5
mTORC1_c	MTOR, RPTOR, MLST8
mTORC2_c	MTOR, RICTOR, MLST8
MXD1	MXD1
MYC	MYC
NFKB_f	NFKB1, NFKB2
NLK	NLK
PAK1	PAK1
PARD6A	PARD6A
PDPK1	PDPK1
PIAS1	PIAS1
PIK3CA	PIK3CA
PIP3	NA
PLCG1	PLCG1
PLK1	PLK1
PPM1A	PPM1A
PPP1CA	PPP1CA
PRKACA	PRKACA
PRKCA	PRKCA
PRKCD	PRKCD
PTEN	PTEN
PTEN_g	PTEN
PTPN11	PTPN11
PTPN6	PTPN6
RAC_f	RAC1, RAC2, RAC3
RAF_f	ARAF, BRAF, RAF1
REL_f	RELA, RELB, REL
RHEB	RHEB
RHOA	RHOA
RND3	RND3
ROCK1	ROCK1
RSK_f	RPS6KA1, RPS6KA2, RPS6KA3
RTPK_f	EGFR, ERBB2, ERBB3, ERBB4, IGF1R, PDGFRA, PDGFRB, CSF1R, KIT, FLT3, FGFR1, FGFR2, FGFR3, FGFR4, FLT1, FLT4, KDR, MET
RTPK_g	EGFR, ERBB2, ERBB3, ERBB4, IGF1R, PDGFRA, PDGFRB, CSF1R, KIT, FLT3, FGFR1, FGFR2, FGFR3, FGFR4, FLT1, FLT4, KDR, MET
S6K_f	RPS6KB1, RPS6KB2
SFRP1	SFRP1
SFRP1_g	SFRP1
SHC1	SHC1
SKI	SKI
SKP2	SKP2
SMAD1	SMAD1
SMAD2	SMAD2
SMAD3	SMAD3
SMAD4	SMAD4
SMAD5	SMAD5
SMAD6	SMAD6
SMAD6_g	SMAD6
SMAD7	SMAD7
SMAD7_g	SMAD7
SMURF1	SMURF1
SMURF2	SMURF2
SOCS1	SOCS1
SOCS1_g	SOCS1
SOS1	SOS1
SRC	SRC
SRF	SRF
STAT1	STAT1
STAT2	STAT2
STAT3	STAT3
SYK	SYK
TAB_f	TAB1, TAB2
TCF7_f	TCF7, TCF7L1, TCF7L2
TGFB1	TGFB1
TGFBR1	TGFBR1
TGFBR2	TGFBR2
TIAM1	TIAM1
TP53	TP53
TRAF6	TRAF6
TSC_f	TSC1, TSC2
VAV1	VAV1
