Node	Oncogene	Tumor.suppressor	Tier
ACVR1	1	0	1
AKT_f	1	0	1
AKT1S1	0	0	0
AP1_c	1	1	0
ARHGAP24	0	0	0
ATF2	0	0	0
AXIN1	0	1	1
BAD	0	0	0
BAX	0	1	1
BCL2	1	0	1
BMPR2	0	0	0
BTRC	0	0	0
CASP3	0	1	0
CASP8	0	1	1
CASP9	0	1	0
CBPp300_c	1	1	1
CCND1	1	0	1
CDC42	0	0	0
CFL_f	0	0	0
CFLAR	0	0	0
CHUK	0	0	0
CK1_f	0	0	0
CREBBP	1	1	1
CSK	0	0	0
CTNNB1	1	0	1
CYCS	0	0	0
DAAM1	0	0	0
DKK_f	0	0	0
DKK_g	0	0	0
DUSP1	0	0	0
DUSP1_g	0	0	0
DUSP6	0	0	0
DVL_f	0	0	0
EGR1	0	0	0
EP300	0	1	1
ERK_f	1	0	0
FOS	0	0	0
FOXO_f	1	1	1
FZD_f	0	0	0
GAB_f	0	0	0
GRAP2	0	0	0
GRB2	0	0	0
GSK3_f	0	0	0
IKBKB	1	0	1
ILK	0	0	0
ILR_f	1	0	0
IRAK1	0	0	0
IRS1	0	0	0
ISGF3_c	0	0	0
ITCH	0	0	0
JAK_f	1	1	1
JNK_f	0	0	0
JUN	1	0	1
KRAS	1	0	1
LEF1	1	1	1
LIF	0	0	0
LIMK1	0	0	0
LIMK2	0	0	0
LRP_f	0	0	0
MAP2K3	0	0	0
MAP2K4	1	1	1
MAP2K7	0	0	0
MAP3K11	0	0	0
MAP3K4	0	0	0
MAP3K5	0	0	0
MAP3K7	0	0	0
MAP3K8	0	0	0
MAPK14	0	0	0
MAPK8IP3	0	0	0
MAPKAPK2	0	0	0
MDM2	1	0	1
MDM2_g	1	0	1
MEK_f	1	0	1
MMP_f	0	0	0
MSK_f	0	0	0
mTORC1_c	1	0	0
mTORC2_c	1	0	0
MXD1	0	0	0
MYC	1	0	1
NFKB_f	1	1	0
NLK	0	0	0
PAK1	0	0	0
PARD6A	0	0	0
PDPK1	0	0	0
PIAS1	0	0	0
PIK3CA	1	0	1
PIP3	0	0	0
PLCG1	1	0	1
PLK1	0	0	0
PPM1A	0	0	0
PPP1CA	0	0	0
PRKACA	1	0	1
PRKCA	0	0	0
PRKCD	0	0	0
PTEN	0	1	1
PTEN_g	0	1	1
PTPN11	1	0	1
PTPN6	0	1	0
RAC_f	1	0	0
RAF_f	1	0	1
REL_f	1	0	0
RHEB	0	0	0
RHOA	1	1	1
RND3	0	0	0
ROCK1	0	0	0
RSK_f	0	0	0
RTPK_f	1	1	0
RTPK_g	1	1	0
S6K_f	0	0	0
SFRP1	0	0	0
SFRP1_g	0	0	0
SHC1	0	0	0
SKI	1	0	0
SKP2	0	0	0
SMAD1	0	0	0
SMAD2	0	1	1
SMAD3	0	1	1
SMAD4	0	1	1
SMAD5	0	0	0
SMAD6	0	0	0
SMAD6_g	0	0	0
SMAD7	0	0	0
SMAD7_g	0	0	0
SMURF1	0	0	0
SMURF2	0	0	0
SOCS1	0	1	1
SOCS1_g	0	1	1
SOS1	0	0	0
SRC	1	0	1
SRF	0	0	0
STAT1	0	0	0
STAT2	0	0	0
STAT3	1	0	1
SYK	1	0	1
TAB_f	0	0	0
TCF7_f	1	0	0
TGFB1	0	0	0
TGFBR1	0	0	0
TGFBR2	0	1	1
TIAM1	0	0	0
TP53	1	1	1
TRAF6	0	0	0
TSC_f	0	1	1
VAV1	0	0	0
