"SUID","AverageShortestPathLength","BetweennessCentrality","canonicalName","ClosenessCentrality","ClusteringCoefficient","Drug target","Eccentricity","EdgeCount","hiddenLabel","Indegree","IsSingleNode","MCODE_Cluster","MCODE_Node_Status","MCODE_Score","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","Rule change in X cell line","selected","SelfLoops","shared name","Stress"
"62","4.33103448","0.06356341","PIP3","0.23089172","0.0",,"7","4","","3","false","","Unclustered","0.4","PIP3","9.0","1","0","","false","0","PIP3","2534"
"63","8.4137931","3.4323E-4","MXD1","0.11885246","0.0",,"12","3","","2","false","","Unclustered","0.5","MXD1","8.666666666666666","1","0","","false","0","MXD1","15"
"64","6.30344828","0.00882416","MAPK8IP3","0.15864333","0.0",,"9","2","","1","false","","Unclustered","0.6666666666666666","MAPK8IP3","6.5","1","0","","false","0","MAPK8IP3","287"
"65","6.71724138","4.3103E-4","RND3","0.14887064","0.5",,"10","2","","1","false","Cluster 2|Cluster 1","Clustered","2.0","RND3","7.5","1","0","","false","0","RND3","9"
"66","5.60689655","0.00361517","TIAM1","0.17835178","0.0",,"9","2","","1","false","","Unclustered","0.6666666666666666","TIAM1","9.5","1","0","","false","0","TIAM1","265"
"67","5.57931034","0.00655659","ARHGAP24","0.17923362","0.0",,"9","3","","1","false","","Unclustered","0.5","ARHGAP24","7.333333333333333","2","0","","false","0","ARHGAP24","371"
"68","4.19310345","0.0304584","ITCH","0.23848684","0.0",,"7","5","","1","false","","Unclustered","0.3333333333333333","ITCH","8.0","4","0","","false","0","ITCH","1240"
"69","4.74482759","0.09118057","ROCK1","0.21075581","0.01388889","true","8","9","","2","false","Cluster 2|Cluster 1","Clustered","2.0","ROCK1","3.7777777777777777","7","0","","false","0","ROCK1","3403"
"70","9.0","0.00790699","LIMK1","0.11111111","0.0",,"13","3","","2","false","","Unclustered","0.5","LIMK1","7.333333333333333","1","0","","false","0","LIMK1","279"
"71","5.02068966","0.01225014","MAP3K4","0.19917582","0.0",,"8","2","","1","false","","Unclustered","0.6666666666666666","MAP3K4","8.0","1","0","","false","0","MAP3K4","871"
"72","5.02068966","0.01225014","MAP3K11","0.19917582","0.0",,"8","2","","1","false","","Unclustered","0.6666666666666666","MAP3K11","8.0","1","0","","false","0","MAP3K11","871"
"73","4.67586207","0.04366132","PAK1","0.21386431","0.0",,"8","4","","2","false","","Unclustered","0.4","PAK1","6.25","2","0","","false","0","PAK1","1643"
"74","8.05517241","0.01869979","CFL_f","0.12414384","0.0",,"12","3","","2","false","","Unclustered","0.5","CFL_f","3.3333333333333335","1","0","SW620","false","0","CFL_f","889"
"75","4.42068966","0.04517502","PPM1A","0.22620905","0.0",,"8","6","","1","false","","Unclustered","0.2857142857142857","PPM1A","9.833333333333334","5","0","","false","0","PPM1A","1634"
"76","7.13793103","0.0214873","SFRP1_g","0.14009662","0.0",,"10","2","","1","false","","Unclustered","0.6666666666666666","SFRP1_g","5.0","1","0","","false","0","SFRP1_g","816"
"77","6.68965517","0.00415203","DAAM1","0.14948454","0.0",,"10","2","","1","false","","Unclustered","0.6666666666666666","DAAM1","6.0","1","0","","false","0","DAAM1","272"
"78","6.68275862","0.01049868","PARD6A","0.1496388","0.16666667",,"10","3","","2","false","Cluster 1","Unclustered","2.0","PARD6A","7.0","1","0","","false","0","PARD6A","361"
"79","6.44827586","0.0069205","BMPR2","0.15508021","0.0",,"10","3","","2","false","","Unclustered","0.5","BMPR2","6.0","1","0","","false","0","BMPR2","435"
"80","5.73103448","0.05751981","RHOA","0.17448857","0.03333333",,"9","6","","5","false","Cluster 2|Cluster 1","Clustered","2.0","RHOA","5.5","1","0","AGS","false","0","RHOA","2254"
"81","4.55172414","0.01115999","SMURF2","0.21969697","0.1",,"8","7","","1","false","","Unclustered","1.4","SMURF2","7.166666666666667","6","1","","false","0","SMURF2","628"
"82","4.15172414","0.02000542","SMURF1","0.24086379","0.0952381",,"8","8","","1","false","Cluster 1","Unclustered","1.2","SMURF1","8.0","7","1","","false","0","SMURF1","985"
"83","4.91724138","0.04840971","TGFBR1","0.20336606","0.11111111","true","8","10","","5","false","","Unclustered","2.4000000000000004","TGFBR1","7.2","5","0","AGS,SW620","false","0","TGFBR1","2236"
"84","6.26206897","0.02402231","GRB2","0.15969163","0.0",,"10","3","","1","false","Cluster 2","Unclustered","0.5","GRB2","4.666666666666667","2","0","","false","0","GRB2","939"
"85","5.63448276","0.00969317","CDC42","0.17747858","0.0",,"9","3","","2","false","","Unclustered","0.5","CDC42","5.0","1","0","AGS","false","0","CDC42","324"
"86","6.8137931","0.00220067","PTPN6","0.14676113","0.0",,"12","2","","1","false","","Unclustered","0.6666666666666666","PTPN6","7.0","1","0","","false","0","PTPN6","74"
"87","5.48275862","0.00711207","ACVR1","0.18238994","0.0","true","9","5","","1","false","","Unclustered","0.3333333333333333","ACVR1","8.4","4","0","","false","0","ACVR1","340"
"88","6.35862069","0.07017606","AP1_c","0.15726681","0.03333333",,"11","6","","5","false","","Unclustered","2.0","AP1_c","8.0","1","0","","false","0","AP1_c","5145"
"89","6.03448276","0.01173933","SMAD6_g","0.16571429","0.33333333",,"9","4","","3","false","Cluster 1|Cluster 3","Seed","3.0","SMAD6_g","11.0","1","0","","false","0","SMAD6_g","678"
"90","4.75862069","0.04475848","SMAD7_g","0.21014493","0.33333333",,"8","4","","3","false","","Unclustered","3.0","SMAD7_g","12.25","1","0","","false","0","SMAD7_g","2396"
"91","5.99310345","0.00403044","NLK","0.16685846","0.0",,"11","3","","1","false","","Unclustered","0.5","NLK","5.333333333333333","2","0","","false","0","NLK","131"
"92","4.2137931","0.03312964","MAP3K7","0.23731588","0.0","true","8","6","","1","false","","Unclustered","0.2857142857142857","MAP3K7","4.833333333333333","5","0","","false","0","MAP3K7","1981"
"93","6.70344828","0.00844303","JUN","0.14917695","0.0",,"11","4","","2","false","","Unclustered","0.4","JUN","8.5","2","0","","false","0","JUN","617"
"94","6.16551724","0.03892256","FOS","0.16219239","0.06666667",,"10","6","","3","false","","Unclustered","1.6666666666666667","FOS","8.166666666666666","3","0","","false","0","FOS","1984"
