#: :cast=:to_f#:type=:single
#Combination	PCI
ACVR1	0.017942643828012028
SMAD1	0.020986992238597013
SMAD2	0.01699271192015539
SMAD3	0.019250441984523636
SMAD5	0.012490778700169347
AKT1S1	0.014097888924967106
mTORC1_c	0.02369864447540404
AKT_f	0.07495446388575766
BAD	0.017410968093352852
CFLAR	0.019050904539966607
CHUK	0.029888566889985868
EP300	0.01989366376719992
FOXO_f	0.020157589171516443
GSK3_f	0.026569115730027848
MAP3K5	0.015084660040194042
MDM2	0.021457104053733467
RAF_f	0.02548609118918177
SKI	0.015328608645057695
TSC_f	0.02579494078646216
AP1_c	0.02865217233621209
ILR_f	0.05603521517257859
ARHGAP24	0.01317808745686666
CDC42	0.014248922750816129
RAC_f	0.050834724246584306
ATF2	0.012584215167304236
AXIN1	0.023562418959681142
BTRC	0.020905226477680783
SMAD7	0.06701485734486734
BCL2	0.015743751213580293
BAX	0.012491742603560785
CYCS	0.0264410676559369
BMPR2	0.01679926713189861
CTNNB1	0.03474423888495892
CASP3	0.05381339660773932
Antisurvival	0.007221155836010129
PRKCD	0.020894213586350796
ROCK1	0.06437659513865024
CASP8	0.018801895639006805
CASP9	0.03513888886735661
CBPp300_c	0.023061530299365418
PTEN	0.046482313294563204
REL_f	0.01464958945753414
CCND1	0.016731453184083533
Prosurvival	0.007461040309426181
SKP2	0.023606798252153394
PAK1	0.030627451953348817
CFL_f	0.02060003263155208
SRF	0.02595438378419379
CREBBP	0.0137470650725251
NFKB_f	0.025008805572231063
CK1_f	0.011405182701124339
CSK	0.02094857144280793
SRC	0.0374016808015466
LEF1	0.014524760427341299
TCF7_f	0.025898149266849857
DAAM1	0.012015981134259723
RHOA	0.0372919358758701
DKK_f	0.018117643046206444
LRP_f	0.033390489289862546
DKK_g	0.019480701587493376
DUSP1	0.04060965358344404
JNK_f	0.039679074495119426
MAPK14	0.06069639703589569
DUSP1_g	0.013849966677546899
DUSP6	0.01577542547248545
ERK_f	0.03942377386229512
DVL_f	0.029965264486209064
EGR1	0.01639599827945004
PTEN_g	0.01760410207194274
TP53	0.03717208530833782
FOS	0.032684832533728114
GAB_f	0.0201215926911118
IRS1	0.014255404115911974
MEK_f	0.029649905983729186
MSK_f	0.014992392060026782
RSK_f	0.017610605469117635
SMAD4	0.023335344959057536
SOS1	0.015374230782768006
STAT3	0.030567912624379523
PRKACA	0.02123573518090882
TGFB1	0.0174715531591515
RTPK_g	0.02022328095814685
FZD_f	0.024396160378892362
PIK3CA	0.025276581082101734
PTPN11	0.012292261026056739
GRAP2	0.013355549546586465
MAP2K4	0.032649408887341136
MAP2K7	0.019535869909662607
GRB2	0.02062974839614462
JUN	0.01393386010766684
MYC	0.039699484854380795
IKBKB	0.031042353742740558
MAP3K8	0.015320374156072347
STAT1	0.029653500359814733
ILK	0.01663128434353911
IRAK1	0.015355498008837842
JAK_f	0.026354919872174865
SHC1	0.02341958303382452
SYK	0.028576742371308583
TRAF6	0.019587104719123283
ISGF3_c	0.007871752069784188
ITCH	0.01874136958769801
STAT2	0.006214778532350973
KRAS	0.02726087417953349
MMP_f	0.028700611432410428
LIF	0.01350630088973015
LIMK1	0.012492797782702958
LIMK2	0.011111807490878367
MAP2K3	0.021930459305419037
MAP3K11	0.013802077596427709
MAP3K4	0.013802077596427709
MAP3K7	0.028072337627477628
NLK	0.012184816878764382
MAPKAPK2	0.018634115860509337
RTPK_f	0.06338210256709909
TAB_f	0.026104243615056144
MAPK8IP3	0.012891455636067084
PIAS1	0.01256590493714671
PLK1	0.014041839319699823
MDM2_g	0.013790140144702034
MXD1	0.010614954241631058
SFRP1_g	0.024143243931607494
PARD6A	0.014164170069673299
PDPK1	0.019646738471291614
PIP3	0.021172012117780747
S6K_f	0.017499271086418466
mTORC2_c	0.023747509262810773
PLCG1	0.016611570355301808
PRKCA	0.011497186296362094
PPM1A	0.020490164168874836
PPP1CA	0.03836760012909202
PTPN6	0.012030806361868485
RHEB	0.015232843072579216
RND3	0.011624960543208607
TIAM1	0.012494021349867324
SFRP1	0.02321922174694213
SMAD6_g	0.021163526620487816
SMAD7_g	0.021951662032614006
SMAD6	0.020550624910807502
TGFBR1	0.022053540719749187
SMURF1	0.01665343051576651
SMURF2	0.015451041686815437
TGFBR2	0.022141087540442972
SOCS1	0.018248462440916713
SOCS1_g	0.01879173098266529
VAV1	0.013998211085007206
