MAP3K7	AKT_f	MAPK14	GSK3_f	MEK_f	PIK3CA	CTNNB1	JNK_f	RSK_f	IKBKB	TGFBR1	ACVR1	JAK_f	CK1_f	MYC	PTEN	STAT3	PDPK1	ROCK1	SYK	Prosurvival	Antisurvival	Shortest_distance_target	Shortest_distance_output
SRC	7	3	5	4	5	4	5	3	5	3	5	7	2	5	2	1	1	4	7	6	3	3	1	3
CSK	8	4	6	5	6	5	6	4	6	4	6	8	3	6	3	2	2	5	8	7	4	4	2	4
CHUK	7	5	6	6	7	7	1	6	6	5	4	8	6	6	3	3	5	5	6	7	4	7	1	4
RAC_f	5	3	3	4	5	7	5	2	6	5	5	7	6	4	4	3	3	5	2	6	5	5	2	5
DUSP1	3	4	1	2	5	5	4	1	4	3	4	6	5	3	3	3	2	3	6	5	4	4	1	4
TGFBR2	4	6	6	7	7	5	4	6	7	5	1	7	5	8	6	4	6	8	3	5	7	7	1	7
ILR_f	4	6	6	7	6	4	4	5	6	5	7	10	1	7	3	6	2	5	5	1	4	4	1	4
SYK	7	5	5	6	5	4	4	4	7	7	7	9	7	6	6	5	5	7	4	0	7	7	0	7
IRAK1	3	5	5	6	6	6	3	5	5	4	6	9	6	6	2	5	1	4	7	9	3	6	1	3
SHC1	10	5	8	6	5	3	7	7	7	8	8	10	7	8	7	7	7	7	7	7	8	7	3	7
JAK_f	7	5	5	6	6	7	7	5	5	6	6	9	0	6	2	5	1	4	7	9	3	3	0	3
CBPp300_c	7	3	6	4	5	5	5	7	6	3	4	6	5	7	5	1	5	7	6	5	6	5	1	5
SKP2	4	5	2	3	6	6	5	2	5	4	5	7	6	4	4	4	3	4	7	6	5	5	2	5
TP53	8	4	7	5	3	3	6	6	5	1	5	7	5	6	6	2	5	5	5	6	6	4	1	4
SMAD7	4	2	5	3	3	4	4	5	3	4	1	3	4	4	3	4	2	5	3	4	4	4	1	4
SMAD6	4	5	6	3	6	5	4	5	6	5	1	6	4	7	4	4	5	8	4	4	5	7	1	5
DKK_f	7	5	8	6	6	7	3	8	6	7	4	6	7	2	5	7	5	7	6	7	6	7	2	6
FOXO_f	9	4	7	5	5	6	6	6	4	5	6	8	5	6	5	4	4	3	6	8	5	1	3	1
TCF7_f	6	5	4	5	7	7	5	4	7	5	6	8	8	4	1	3	5	6	8	8	2	7	1	2
DKK_g	8	6	9	7	7	8	4	9	7	8	5	7	8	3	6	8	6	8	7	8	7	8	3	7
MYC	9	7	8	5	8	9	5	7	8	8	6	8	9	4	0	6	7	9	7	9	1	9	0	1
CCND1	5	6	3	4	7	7	6	3	6	5	6	8	7	5	5	5	4	5	8	7	1	6	3	1
EGR1	9	4	7	5	6	6	6	8	8	4	6	8	7	9	6	2	7	8	8	7	7	6	2	6
MMP_f	8	3	6	4	4	5	5	5	3	4	5	7	4	5	4	3	3	2	5	7	4	5	2	4
PTEN_g	8	3	6	4	5	5	5	7	7	3	5	7	6	8	5	1	6	7	7	6	6	5	1	5
RTPK_f	7	2	5	3	3	4	4	4	2	3	4	6	3	4	3	2	2	1	4	6	3	4	1	3
