Node	ClosenessCentrality	BetweennessCentrality	Drug.target	Indegree	Outdegree	NeighborhoodConnectivity	ClusteringCoefficient	AverageShortestPathLength	HGNC.symbols	Shortest_distance_target	Shortest_distance_output	PCI	Outdegree.inhibit	Outdegree.activate	Indegree.inhibit	Indegree.activate
ACVR1	0.18238994	0.00711207	TRUE	1	4	8.4	0	5.48275862	ACVR1	0	5	0.017942643828012	0	4	0	1
AKT1S1	0.18782383	0.00685607	FALSE	1	1	11.5	0	5.32413793	AKT1S1	2	4	0.0140978889249671	1	0	1	0
AKT_f	0.29835391	0.16905512	TRUE	4	13	5.94117647058824	0.02205882	3.35172414	AKT1, AKT2, AKT3	0	2	0.0749544638857577	9	4	1	3
Antisurvival	0	0	FALSE	3	0	4	0	0	NA	NA	NA	0.00722115583601013	0	0	0	3
AP1_c	0.15726681	0.07017606	FALSE	5	1	8	0.03333333	6.35862069	JUN, FOS, ATF2, SMAD3, SMAD4	2	5	0.0286521723362121	0	1	0	5
ARHGAP24	0.17923362	0.00655659	FALSE	1	2	7.33333333333333	0	5.57931034	ARHGAP24	3	6	0.0131780874568667	2	0	0	1
ATF2	0.13679245	0.00558488	FALSE	3	1	13.25	0	7.31034483	ATF2	3	6	0.0125842151673042	0	1	0	3
AXIN1	0.21641791	0.05644737	FALSE	4	2	8.5	0.1	4.62068966	AXIN1	2	5	0.0235624189596811	1	1	3	1
BAD	0.1182708	0.01026438	FALSE	2	1	10	0	8.45517241	BAD	5	5	0.0174109680933529	1	0	2	0
BAX	0.13278388	0.00579158	FALSE	1	1	6	0	7.53103448	BAX	4	4	0.0124917426035608	0	1	0	1
BCL2	0.13314968	0.01045595	FALSE	1	1	3	0	7.51034483	BCL2	4	4	0.0157437512135803	1	0	1	0
BMPR2	0.15508021	0.0069205	FALSE	2	1	6	0	6.44827586	BMPR2	1	6	0.0167992671318986	0	1	2	0
BTRC	0.14271654	0.02698979	FALSE	4	1	6.8	0.15	7.00689655	BTRC	1	4	0.0209052264776808	1	0	1	3
CASP3	0.21577381	0.06195503	FALSE	2	3	4.8	0	4.63448276	CASP3	1	1	0.0538133966077393	0	3	0	2
CASP8	0.17879162	0.01266257	FALSE	1	1	4	0	5.59310345	CASP8	2	2	0.0188018956390068	0	1	1	0
CASP9	0.17857143	0.04215645	FALSE	2	1	5.33333333333333	0	5.6	CASP9	2	2	0.0351388888673566	0	1	0	2
CBPp300_c	0.1962111	0.02528894	FALSE	3	3	7	0.03333333	5.09655172	CREBBP, EP300	1	5	0.0230615302993654	1	2	1	2
CCND1	0.16743649	0.02153812	FALSE	3	2	7.2	0.05	5.97241379	CCND1	3	1	0.0167314531840835	0	2	0	3
CDC42	0.17747858	0.00969317	FALSE	2	1	5	0	5.63448276	CDC42	2	5	0.0142489227508161	0	1	1	1
CFLAR	0.15263158	0.012471	FALSE	2	1	8	0	6.55172414	CFLAR	3	3	0.0190509045399666	1	0	1	1
CFL_f	0.12414384	0.01869979	FALSE	2	1	3.33333333333333	0	8.05517241	CFL1, CFL2	5	8	0.0206000326315521	0	1	0	2
CHUK	0.17923362	0.04662871	FALSE	3	3	6	0	5.57931034	CHUK	1	4	0.0298885668899859	0	3	0	3
CK1_f	0.12554113	0	TRUE	1	1	6.5	0.5	7.96551724	CSNK1A1, CSNK1D, CSNK1E	0	5	0.0114051827011243	0	1	1	0
CREBBP	0.16496018	0.00957771	FALSE	1	1	6	0	6.06206897	CREBBP	2	6	0.0137470650725251	0	1	0	1
CSK	0.1821608	0.03025879	FALSE	1	1	5.5	0	5.48965517	CSK	2	4	0.0209485714428079	1	0	0	1
CTNNB1	0.16552511	0.05082205	TRUE	2	2	4.75	0	6.04137931	CTNNB1	0	3	0.0347442388849589	0	2	1	1
CYCS	0.15231092	0.02338355	FALSE	2	1	2.33333333333333	0	6.56551724	CYCS	3	3	0.0264410676559369	0	1	1	1
DAAM1	0.14948454	0.00415203	FALSE	1	1	6	0	6.68965517	DAAM1	2	7	0.0120159811342597	0	1	0	1
DKK_f	0.15658747	0.02002839	FALSE	1	1	5.5	0	6.3862069	DKK1, DKK2, DKK3, DKK4	2	6	0.0181176430462064	1	0	0	1
