Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-5674400,"Constitutive Signaling by AKT1 E17K in Cancer",19,32,0.0022761220570453092,1.1102230246251565E-16,1.6653345369377348E-15,18,18,0.0015020026702269693,9606,Homo sapiens,"GSK3B;GSK3A;CHUK;PDPK1;BAD;TSC2;FOXO4;FOXO3;FOXO1;MTOR;CASP9;AKT2;AKT1S1;RPS6KB2;AKT3;MDM2;MLST8;AKT1;RICTOR","","R-HSA-2243938;R-HSA-2399941;R-HSA-2243937;R-HSA-2243942;R-HSA-2400001;R-HSA-2399969;R-HSA-2399981;R-HSA-2399982;R-HSA-2399977;R-HSA-2400010;R-HSA-2399988;R-HSA-2219536;R-HSA-2399985;R-HSA-2399996;R-HSA-2399997;R-HSA-2399966;R-HSA-2399999;R-HSA-2399992"
R-HSA-2219528,"PI3K/AKT Signaling in Cancer",47,133,0.009460132299594566,1.1102230246251565E-16,1.6653345369377348E-15,21,21,0.0017523364485981308,9606,Homo sapiens,"GSK3B;GSK3A;IRS1;SRC;PTEN;FOXO4;FOXO3;FOXO1;EGFR;CASP9;ERBB3;ERBB4;AKT2;AKT3;ERBB2;RAC2;MLST8;AKT1;RICTOR;RAC1;PDGFRB;PDGFRA;CHUK;PDPK1;BAD;GAB1;TSC2;PTPN11;VAV1;MTOR;PIK3CA;AKT1S1;KIT;RPS6KB2;MDM2;GRB2;FGFR4;MET;FGFR3;FGFR2;FGFR1","","R-HSA-2243938;R-HSA-2399941;R-HSA-2243937;R-HSA-2243942;R-HSA-2400001;R-HSA-2399969;R-HSA-2317387;R-HSA-2399981;R-HSA-2399982;R-HSA-2399977;R-HSA-2400009;R-HSA-2400010;R-HSA-2399988;R-HSA-2219536;R-HSA-2394007;R-HSA-2399985;R-HSA-2399996;R-HSA-2399997;R-HSA-2399966;R-HSA-2399999;R-HSA-2399992"
R-HSA-2219530,"Constitutive Signaling by Aberrant PI3K in Cancer",27,102,0.007255139056831923,1.1102230246251565E-16,1.6653345369377348E-15,2,2,1.6688918558077436E-4,9606,Homo sapiens,"PDGFRB;PDGFRA;IRS1;SRC;GAB1;PTPN11;VAV1;EGFR;PIK3CA;ERBB3;ERBB4;ERBB2;KIT;RAC2;GRB2;RAC1;FGFR4;MET;FGFR3;FGFR2;FGFR1","","R-HSA-2394007;R-HSA-2400009"
R-HSA-975138,"TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation",30,102,0.007255139056831923,1.1102230246251565E-16,1.6653345369377348E-15,46,47,0.003921895861148198,9606,Homo sapiens,"ATF2;RELA;IKBKB;MAPK9;RPS6KA3;MAPK8;RPS6KA5;IRAK1;RPS6KA2;RPS6KA1;MAPK1;MAP3K8;MAP2K7;BTRC;MAP3K7;MAPK3;MAP2K3;MAP2K4;MAP2K1;JUN;CHUK;FOS;MAPK14;NFKB1;DUSP6;NFKB2;TRAF6;MAPKAPK2;REL;TAB2;TAB1","","R-HSA-975119;R-HSA-451649;R-HSA-198731;R-HSA-168136;R-HSA-5684250;R-HSA-5684248;R-HSA-168140;R-HSA-198669;R-HSA-450325;R-HSA-5609665;R-HSA-199959;R-HSA-199895;R-HSA-203797;R-HSA-450257;R-HSA-166869;R-HSA-198746;R-HSA-450333;R-HSA-975122;R-HSA-975185;R-HSA-168162;R-HSA-168166;R-HSA-5684275;R-HSA-199910;R-HSA-975147;R-HSA-450337;R-HSA-5684273;R-HSA-198756;R-HSA-975142;R-HSA-450222;R-HSA-450348;R-HSA-450346;R-HSA-975139;R-HSA-199917;R-HSA-450358;R-HSA-975103;R-HSA-450292;R-HSA-975100;R-HSA-5684261;R-HSA-451634;R-HSA-168053;R-HSA-975097;R-HSA-168440;R-HSA-168184;R-HSA-199935;R-HSA-5684267;R-HSA-450296"
R-HSA-1433557,"Signaling by SCF-KIT",20,50,0.0035564407141332956,1.1102230246251565E-16,1.6653345369377348E-15,35,36,0.0030040053404539386,9606,Homo sapiens,"STAT1;SRC;STAT3;PRKCA;PTPN11;GAB2;MMP9;VAV1;SOCS1;PIK3CA;GRAP2;KIT;GRB2;KRAS;PTPN6;RAC1;SOS1;PRKACA;JAK2","","R-HSA-1433428;R-HSA-205319;R-HSA-1433488;R-HSA-1562641;R-HSA-1562640;R-HSA-1433501;R-HSA-205321;R-HSA-1433374;R-HSA-205262;R-HSA-1433415;R-HSA-1433542;R-HSA-205328;R-HSA-205205;R-HSA-1433410;R-HSA-1433423;R-HSA-1433418;R-HSA-205286;R-HSA-1433456;R-HSA-1433471;R-HSA-1470012;R-HSA-205289;R-HSA-1470010;R-HSA-205231;R-HSA-1470011;R-HSA-1470009;R-HSA-1472121;R-HSA-205234;R-HSA-1433508;R-HSA-205238;R-HSA-1433506;R-HSA-205306;R-HSA-1433454;R-HSA-1433451;R-HSA-1433514;R-HSA-205244"
R-HSA-450294,"MAP kinase activation",28,69,0.004907888185503947,1.1102230246251565E-16,1.6653345369377348E-15,31,32,0.0026702269692923898,9606,Homo sapiens,"ATF2;IKBKB;MAPK9;RPS6KA3;MAPK8;RPS6KA5;IRAK1;RPS6KA2;RPS6KA1;MAPK1;MAP3K8;MAP2K7;BTRC;MAP3K7;MAPK3;MAP2K3;MAP2K4;MAP2K1;JUN;CHUK;FOS;MAPK14;NFKB1;DUSP6;TRAF6;MAPKAPK2;TAB2;TAB1","","R-HSA-451649;R-HSA-198731;R-HSA-168136;R-HSA-5684250;R-HSA-5684248;R-HSA-198669;R-HSA-450325;R-HSA-199959;R-HSA-199895;R-HSA-203797;R-HSA-450257;R-HSA-198746;R-HSA-450333;R-HSA-168162;R-HSA-5684275;R-HSA-199910;R-HSA-450337;R-HSA-5684273;R-HSA-198756;R-HSA-450222;R-HSA-450348;R-HSA-450346;R-HSA-199917;R-HSA-450292;R-HSA-5684261;R-HSA-451634;R-HSA-168053;R-HSA-168440;R-HSA-199935;R-HSA-5684267;R-HSA-450296"
R-HSA-2404192,"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)",25,72,0.0051212746283519454,1.1102230246251565E-16,1.6653345369377348E-15,18,19,0.0015854472630173564,9606,Homo sapiens,"PDPK1;SHC1;IRS1;FLT3;GAB1;PTPN11;GAB2;IGF1R;PIK3CA;AKT2;AKT1;GRB2;KRAS;SOS1;FGFR4;FGFR3;FGFR2;FGFR1","","R-HSA-109699;R-HSA-2404199;R-HSA-109701;R-HSA-109700;R-HSA-2404193;R-HSA-109702;R-HSA-2404195;R-HSA-2428930;R-HSA-2404200;R-HSA-5686072;R-HSA-5686073;R-HSA-74737;R-HSA-74736;R-HSA-109817;R-HSA-5686318;R-HSA-162363;R-HSA-2428926;R-HSA-2428922"
R-HSA-2428924,"IGF1R signaling cascade",25,71,0.00505014581406928,1.1102230246251565E-16,1.6653345369377348E-15,16,17,0.0014185580774365822,9606,Homo sapiens,"PDPK1;SHC1;IRS1;FLT3;GAB1;PTPN11;GAB2;IGF1R;PIK3CA;AKT2;AKT1;GRB2;KRAS;SOS1;FGFR4;FGFR3;FGFR2;FGFR1","","R-HSA-109699;R-HSA-109701;R-HSA-109700;R-HSA-2404193;R-HSA-109702;R-HSA-2404195;R-HSA-2428930;R-HSA-5686072;R-HSA-5686073;R-HSA-74737;R-HSA-74736;R-HSA-109817;R-HSA-5686318;R-HSA-162363;R-HSA-2428926;R-HSA-2428922"
R-HSA-1226099,"Signaling by FGFR in disease",23,93,0.006614979728287929,1.1102230246251565E-16,1.6653345369377348E-15,99,106,0.008845126835781042,9606,Homo sapiens,"STAT1;STAT3;GAB1;GAB2;PIK3CA;GRB2;KRAS;PLCG1;SOS1;FGFR4;FGFR3;FGFR2;FGFR1","","R-HSA-2023455;R-HSA-2023451;R-HSA-1839114;R-HSA-1839110;R-HSA-2067713;R-HSA-1839107;R-HSA-2023462;R-HSA-2023460;R-HSA-2023456;R-HSA-5655315;R-HSA-5654544;R-HSA-5654545;R-HSA-5655313;R-HSA-5655326;R-HSA-5655323;R-HSA-2033490;R-HSA-5655320;R-HSA-2033488;R-HSA-2033486;R-HSA-2033485;R-HSA-5655301;R-HSA-2033479;R-HSA-2033476;R-HSA-2033474;R-HSA-2033472;R-HSA-5655351;R-HSA-5655348;R-HSA-5655347;R-HSA-1982066;R-HSA-2038387;R-HSA-2038386;R-HSA-1982065;R-HSA-5655343;R-HSA-8851710;R-HSA-5655341;R-HSA-5655339;R-HSA-5655336;R-HSA-2029983;R-HSA-5655252;R-HSA-2046363;R-HSA-5655248;R-HSA-5655262;R-HSA-5655263;R-HSA-5654748;R-HSA-5655235;R-HSA-5655233;R-HSA-5655247;R-HSA-5655244;R-HSA-5655245;R-HSA-5655243;R-HSA-5655240;R-HSA-5655241;R-HSA-5655284;R-HSA-5655285;R-HSA-2012086;R-HSA-5655295;R-HSA-2012087;R-HSA-2012084;R-HSA-5655290;R-HSA-2012082;R-HSA-5655289;R-HSA-5655270;R-HSA-5655268;R-HSA-5655269;R-HSA-5655266;R-HSA-2012074;R-HSA-2029992;R-HSA-2012073;R-HSA-5655278;R-HSA-8853310;R-HSA-2029988;R-HSA-8853309;R-HSA-2029989;R-HSA-5655277;R-HSA-8853308;R-HSA-8853307;R-HSA-2038946;R-HSA-2029984;R-HSA-2038944;R-HSA-8853319;R-HSA-8853317;R-HSA-8853316;R-HSA-8853315;R-HSA-8853314;R-HSA-8853313;R-HSA-8853325;R-HSA-8853323;R-HSA-8853322;R-HSA-8853320;R-HSA-1888198;R-HSA-1839100;R-HSA-1839102;R-HSA-1839098;R-HSA-1839094;R-HSA-1839095;R-HSA-2077424;R-HSA-1839091;R-HSA-2077420;R-HSA-1839080"
R-HSA-1227986,"Signaling by ERBB2",23,67,0.004765630556938616,1.1102230246251565E-16,1.6653345369377348E-15,40,43,0.003588117489986649,9606,Homo sapiens,"SHC1;SRC;PRKCD;GAB1;PRKCA;RHOA;EGFR;PIK3CA;ERBB3;ERBB4;AKT2;ERBB2;AKT3;AKT1;GRB2;KRAS;PLCG1;SOS1;PRKACA","","R-HSA-1306963;R-HSA-1250195;R-HSA-1251922;R-HSA-8848005;R-HSA-6785636;R-HSA-1358801;R-HSA-1306965;R-HSA-8934465;R-HSA-1306969;R-HSA-1250463;R-HSA-1250462;R-HSA-1306972;R-HSA-1250498;R-HSA-1918092;R-HSA-1918095;R-HSA-1358790;R-HSA-1358791;R-HSA-6785648;R-HSA-1963589;R-HSA-1358798;R-HSA-1306953;R-HSA-1247497;R-HSA-1358792;R-HSA-1306957;R-HSA-1250189;R-HSA-1963586;R-HSA-1963581;R-HSA-1963582;R-HSA-1250486;R-HSA-8934446;R-HSA-1963578;R-HSA-1250488;R-HSA-8864105;R-HSA-1306979;R-HSA-1963563;R-HSA-1250346;R-HSA-8864125;R-HSA-8863804;R-HSA-1251944;R-HSA-8847995"
