Node	survival:master 	emt_senescence:master 	invasion_motility:master 	caf_cell:master 	angiogenesis:master 	adaptive_immune:master 	innate_immune:master 
ACVR1	0	0	0	0	0	0	0
AKT_f	1	1	1	1	1	1	1
AKT1S1	1	0	0	1	0	1	1
AP1_c	1	1	1	1	0	1	1
ARHGAP24	0	1	0	0	0	0	0
ATF2	1	0	0	0	0	1	1
AXIN1	1	1	0	0	0	0	0
BAD	1	1	0	0	1	1	0
BAX	1	1	0	0	0	0	0
BCL2	1	1	0	0	0	0	0
BMPR2	0	0	0	0	0	0	0
BTRC	1	0	0	0	0	0	0
CASP3	1	1	0	0	0	0	0
CASP8	1	0	0	0	0	1	0
CASP9	1	0	0	0	1	0	0
CBPp300_c	1	0	0	1	1	0	1
CCND1	1	1	0	0	0	0	0
CDC42	0	1	0	1	0	1	1
CFL_f	0	1	0	1	1	1	1
CFLAR	0	0	0	0	0	1	0
CHUK	1	1	0	1	0	1	1
CK1_f	1	1	0	0	0	0	0
CREBBP	1	0	0	1	1	0	1
CSK	0	1	1	0	0	1	1
CTNNB1	1	1	1	0	0	0	1
CYCS	1	0	0	0	0	0	0
DAAM1	1	0	0	0	0	0	0
DKK_f	1	0	0	0	0	0	0
DKK_g	1	0	0	0	0	0	0
DUSP1	1	0	0	0	0	0	1
DUSP1_g	1	0	0	0	0	0	1
DUSP6	1	0	0	0	0	0	0
DVL_f	1	1	0	0	0	0	0
EGR1	1	0	1	1	0	0	0
EP300	1	0	0	1	1	0	0
ERK_f	1	1	1	1	1	1	1
FOS	1	1	1	0	0	1	1
FOXO_f	1	1	1	0	1	1	0
FZD_f	1	1	0	0	0	0	0
GAB_f	1	0	0	1	0	1	1
GRAP2	0	0	0	0	0	0	0
GRB2	1	1	0	1	1	1	1
GSK3_f	1	1	1	0	0	1	1
IKBKB	1	0	0	1	0	1	1
ILK	0	0	0	1	0	0	0
ILR_f	0	0	0	1	0	0	1
IRAK1	1	0	0	1	0	0	1
IRS1	1	1	0	1	0	0	0
ISGF3_c	1	1	0	1	0	1	1
ITCH	1	0	0	0	0	0	0
JAK_f	0	1	0	1	0	0	1
JNK_f	1	1	1	1	1	1	1
JUN	1	0	1	0	0	1	1
KRAS	1	0	0	1	1	0	0
LEF1	1	1	0	0	0	0	0
LIF	0	0	0	1	0	0	0
LIMK1	0	1	0	1	1	1	1
LIMK2	0	1	0	0	1	0	0
LRP_f	1	1	0	0	0	0	0
MAP2K3	1	0	0	0	0	1	1
MAP2K4	1	0	0	0	1	1	1
MAP2K7	1	0	0	0	0	0	0
MAP3K11	1	1	0	0	0	0	0
MAP3K4	1	0	0	0	0	1	0
MAP3K5	1	1	0	0	0	0	0
MAP3K7	1	1	0	1	0	1	1
MAP3K8	0	0	0	0	0	0	1
MAPK14	1	1	0	1	1	1	1
MAPK8IP3	0	0	0	0	0	0	0
MAPKAPK2	1	0	0	0	0	0	0
MDM2	1	1	1	0	0	0	0
MDM2_g	1	1	1	0	0	0	0
MEK_f	1	1	0	1	1	1	1
MMP_f	1	1	1	1	0	0	1
MSK_f	1	0	0	0	1	0	0
mTORC1_c	1	0	1	1	0	1	1
mTORC2_c	1	0	1	1	0	1	1
MXD1	0	0	0	0	0	0	0
MYC	1	1	0	1	0	0	1
NFKB_f	1	0	1	1	0	1	1
NLK	1	1	0	0	0	0	0
PAK1	0	1	0	0	0	1	1
PARD6A	1	1	0	0	0	0	0
PDPK1	1	1	0	1	0	1	1
PIAS1	1	0	0	0	0	0	1
PIK3CA	1	1	1	1	0	1	1
PIP3	0	0	0	0	0	0	0
PLCG1	1	1	0	1	1	1	1
PLK1	1	0	0	0	0	0	0
PPM1A	0	0	0	0	0	0	0
