	loss_TP	loss_TN	gain_TP	gain_TN	na
SRC%0	6	108	0	0	15
CSK%0	0	0	0	0	0
CHUK%0	5	112	0	0	14
RAC_f%0	2	22	0	0	7
DUSP1%0	4	16	0	19	0
TGFBR2%1	0	0	0	0	0
ILR_f%0	3	0	0	19	0
SYK%0	0	0	0	0	0
IRAK1%0	3	0	0	19	0
SHC1%0	0	7	0	0	0
JAK_f%1	0	0	0	0	0
CBPp300_c%1	0	0	0	0	0
SKP2%0	0	0	0	0	0
TP53%1	0	0	0	0	0
SMAD7%1	0	0	0	16	0
SMAD6%0	0	0	0	0	0
DKK_f%0	6	113	0	0	15
TCF7_f%0	6	112	0	0	15
DKK_g%0	6	113	0	0	15
MYC%0	1	0	1	20	0
CCND1%0	0	0	0	0	0
EGR1%1	0	0	0	0	0
MMP_f%0	2	16	1	14	0
PTEN_g%1	0	0	0	0	0
RTPK_f%0	6	34	2	17	6
CTNNB1%0	5	109	0	0	14
LEF1%0	0	1	0	0	0
SFRP1%1	0	0	0	0	0
FZD_f%0	0	0	0	0	0
CASP8%1	0	0	0	0	0
REL_f%0	0	0	0	0	0
NFKB_f%0	0	0	0	0	0
DVL_f%0	0	0	0	0	0
LRP_f%1	6	113	0	0	15
BTRC%0	0	0	0	0	0
CK1_f%0	0	0	0	0	0
AXIN1%0	6	113	0	0	15
mTORC2_c%1	0	0	0	0	0
PDPK1%0	6	0	1	24	0
MEK_f%0	5	19	0	3	6
CYCS%1	0	0	0	0	0
CASP9%1	0	0	0	0	0
GSK3_f%1	1	11	1	17	3
IRS1%1	0	0	0	0	0
MDM2%0	0	0	0	0	0
AKT_f%0	5	11	0	6	3
BCL2%0	0	0	0	0	0
RAF_f%0	3	37	0	0	5
mTORC1_c%0	0	11	0	1	3
RHEB%0	0	11	0	1	3
RTPK_g%1	0	0	0	0	0
PTEN%1	6	113	0	0	15
CASP3%1	0	0	0	0	0
PIK3CA%0	5	11	0	6	3
CREBBP%0	0	0	0	0	0
PTPN11%0	0	0	0	0	0
KRAS%0	3	37	0	0	5
MAP2K4%0	0	0	0	0	0
MAP2K7%0	0	0	0	0	0
MAPK14%1	3	0	0	18	0
JNK_f%1	0	0	0	15	0
MAP2K3%0	0	0	0	0	0
ERK_f%0	5	0	0	8	0
LIF%0	0	6	0	0	0
PPP1CA%1	6	112	0	0	15
GAB_f%0	0	0	0	0	0
SOS1%0	0	0	0	0	0
PRKCA%0	0	0	0	0	0
VAV1%0	0	0	0	0	0
PLCG1%0	0	0	0	0	0
PRKCD%0	0	0	0	0	0
RSK_f%0	5	0	0	7	0
S6K_f%0	0	0	0	2	0
PLK1%0	0	0	0	0	0
ILK%0	5	112	0	0	14
SOCS1%0	0	0	0	0	0
DUSP6%0	0	0	0	3	0
STAT3%0	0	0	0	12	0
LIMK2%0	0	0	0	0	0
EP300%1	0	0	0	0	0
STAT1%0	0	0	0	0	0
IKBKB%0	0	0	0	0	0
SRF%0	0	0	0	0	0
PIAS1%1	0	0	0	0	0
TRAF6%0	3	0	0	19	0
SOCS1_g%0	0	0	0	0	0
ISGF3_c%1	0	0	0	0	0
STAT2%1	0	0	0	0	0
CFLAR%0	0	0	0	0	0
SMAD2%0	0	0	0	0	0
MDM2_g%0	0	0	0	0	0
BAX%1	0	0	0	0	0
PRKACA%0	0	0	0	0	0
TGFB1%1	0	0	0	0	0
MAP3K8%0	0	0	0	0	0
TSC_f%1	0	11	0	1	3
SMAD4%0	0	0	1	16	0
BAD%1	0	0	0	0	0
MAP3K5%1	0	0	0	0	0
AKT1S1%1	0	11	0	1	3
SKI%1	0	0	0	0	0
SMAD3%0	0	0	0	0	0
MAPKAPK2%1	0	0	0	0	0
DUSP1_g%0	0	0	0	0	0
MSK_f%0	0	0	0	0	0
GRAP2%0	0	0	0	0	0
TAB_f%0	3	0	0	19	0
ATF2%1	0	0	0	0	0
SMAD5%0	0	0	0	0	0
SMAD1%1	0	0	0	0	0
FOS%0	0	0	0	0	0
JUN%1	0	0	0	0	0
MAP3K7%0	3	0	0	19	0
NLK%0	3	0	0	19	0
SMAD7_g%0	0	0	1	16	0
SMAD6_g%0	0	0	0	0	0
AP1_c%0	0	0	0	0	0
ACVR1%0	4	30	0	0	9
PTPN6%0	0	0	0	0	0
CDC42%0	0	0	0	0	0
GRB2%0	0	7	0	0	0
TGFBR1%1	0	0	0	0	0
SMURF1%1	0	0	0	0	0
SMURF2%1	0	0	1	16	0
RHOA%0	0	0	0	0	0
BMPR2%0	4	30	0	0	9
PARD6A%1	0	0	0	0	0
DAAM1%0	0	0	0	0	0
SFRP1_g%1	0	0	0	0	0
PPM1A%1	6	113	0	0	15
CFL_f%0	0	0	0	0	0
PAK1%0	5	112	0	0	14
MAP3K11%0	0	0	0	0	0
MAP3K4%0	0	0	0	0	0
LIMK1%0	0	0	0	0	0
ROCK1%0	0	0	0	0	0
ITCH%1	0	0	0	16	0
ARHGAP24%0	0	0	0	0	0
TIAM1%1	0	0	0	0	0
RND3%0	0	0	0	0	0
MAPK8IP3%0	0	0	0	0	0
MXD1%1	1	0	1	20	0
PIP3%0	5	11	0	6	3
