	loss_TP	loss_TN	gain_TP	gain_TN	na
SRC%0	2	24	0	4	8
CSK%0	0	0	0	0	0
CHUK%0	2	118	0	0	24
RAC_f%0	0	12	0	0	3
DUSP1%1	0	0	0	0	0
TGFBR2%0	0	4	0	4	0
ILR_f%0	0	4	0	4	0
SYK%0	0	0	0	0	0
IRAK1%0	0	0	0	0	0
SHC1%0	2	123	0	0	24
JAK_f%0	0	0	0	4	0
CBPp300_c%0	0	0	0	0	0
SKP2%0	0	0	0	0	0
TP53%1	0	0	0	0	0
SMAD7%1	0	4	2	5	0
SMAD6%0	0	0	0	0	1
DKK_f%0	0	13	0	0	3
TCF7_f%0	0	16	0	0	3
DKK_g%0	0	13	0	0	3
MYC%0	2	0	0	7	0
CCND1%0	2	0	0	4	0
EGR1%1	0	0	0	0	0
MMP_f%0	0	1	0	4	0
PTEN_g%1	0	0	0	0	0
RTPK_f%0	2	21	1	6	8
CTNNB1%0	0	17	0	0	3
LEF1%0	0	1	0	0	0
SFRP1%1	0	0	0	0	0
FZD_f%0	0	0	0	0	0
CASP8%1	1	0	0	1	0
REL_f%0	0	0	0	0	0
NFKB_f%0	0	0	0	0	0
DVL_f%0	0	0	0	0	0
LRP_f%1	0	13	0	0	3
BTRC%0	0	0	0	0	0
CK1_f%0	0	0	0	0	0
AXIN1%0	0	13	0	0	3
mTORC2_c%1	0	0	0	0	0
PDPK1%0	2	1	1	7	0
MEK_f%0	2	22	1	2	8
CYCS%1	1	0	0	1	0
CASP9%1	1	0	0	1	0
GSK3_f%1	2	14	0	10	3
IRS1%1	0	0	0	0	0
MDM2%0	0	0	0	0	0
AKT_f%0	2	12	0	7	3
BCL2%0	0	0	0	0	0
RAF_f%0	2	123	0	0	24
mTORC1_c%0	0	12	0	1	3
RHEB%0	0	12	0	1	3
RTPK_g%0	0	0	1	0	0
PTEN%1	2	124	0	0	24
CASP3%1	1	0	0	1	0
PIK3CA%0	2	12	0	7	3
CREBBP%0	0	0	0	0	0
PTPN11%0	2	123	0	0	24
KRAS%0	2	123	0	0	24
MAP2K4%0	0	12	0	0	3
MAP2K7%0	0	0	0	0	0
MAPK14%0	0	21	5	4	0
JNK_f%0	2	19	0	8	1
MAP2K3%1	0	0	0	0	0
ERK_f%0	2	1	1	7	0
LIF%0	0	0	0	1	0
PPP1CA%1	2	0	0	9	0
GAB_f%0	2	123	0	0	24
SOS1%1	0	0	0	0	0
PRKCA%0	0	0	0	0	0
VAV1%0	0	0	0	0	0
PLCG1%0	0	0	0	0	0
PRKCD%0	0	0	0	0	0
RSK_f%0	2	1	1	6	0
S6K_f%0	0	0	0	2	0
PLK1%0	0	1	1	0	0
ILK%0	1	123	0	0	23
SOCS1%1	0	0	0	0	0
DUSP6%0	0	0	0	2	0
STAT3%0	0	7	0	0	0
LIMK2%1	0	0	0	0	0
EP300%0	0	0	0	0	0
STAT1%1	2	0	0	8	0
IKBKB%1	0	0	0	0	0
SRF%0	0	1	0	0	0
PIAS1%0	2	0	0	8	0
TRAF6%0	0	5	2	4	1
SOCS1_g%1	0	0	0	0	0
ISGF3_c%1	2	0	0	8	0
STAT2%0	0	0	0	4	0
CFLAR%0	1	0	0	1	0
SMAD2%0	0	0	0	0	1
MDM2_g%0	0	0	0	0	0
BAX%1	0	0	0	0	0
PRKACA%0	0	0	0	0	0
TGFB1%0	0	4	0	4	0
MAP3K8%1	0	0	0	0	0
TSC_f%1	0	12	0	1	3
SMAD4%0	0	0	0	0	1
BAD%1	0	0	0	0	0
MAP3K5%1	0	0	0	0	0
AKT1S1%1	0	12	0	1	3
SKI%1	0	0	0	0	1
SMAD3%1	0	0	0	0	0
MAPKAPK2%0	2	0	0	8	0
DUSP1_g%0	0	0	0	0	0
MSK_f%0	0	0	0	0	0
GRAP2%1	0	0	0	0	0
TAB_f%1	0	23	6	2	3
ATF2%0	0	0	0	0	0
SMAD5%0	0	0	0	0	0
SMAD1%1	0	0	0	0	0
FOS%0	0	4	0	4	0
JUN%0	0	4	0	4	0
MAP3K7%1	0	23	6	2	3
NLK%1	0	20	3	3	3
SMAD7_g%0	0	0	0	0	0
SMAD6_g%0	0	0	0	0	1
AP1_c%0	0	0	0	0	0
ACVR1%0	0	0	0	0	0
PTPN6%0	0	0	0	0	0
CDC42%0	0	0	0	0	0
GRB2%0	2	123	0	0	24
TGFBR1%0	0	4	2	4	0
SMURF1%1	0	4	2	4	0
SMURF2%1	0	4	2	5	0
RHOA%0	0	0	0	0	0
BMPR2%0	0	0	0	0	0
PARD6A%0	0	0	0	0	0
DAAM1%0	0	0	0	0	0
SFRP1_g%1	0	0	0	0	0
PPM1A%1	0	13	0	0	3
CFL_f%0	0	1	0	0	0
PAK1%0	1	123	0	0	23
MAP3K11%0	0	0	0	0	0
MAP3K4%0	0	0	0	0	0
LIMK1%0	0	1	0	0	0
ROCK1%0	0	0	0	0	0
ITCH%0	2	25	0	4	7
ARHGAP24%0	0	0	0	0	0
TIAM1%1	0	0	0	0	0
RND3%0	0	0	0	0	0
MAPK8IP3%0	0	0	0	0	0
MXD1%1	2	0	0	7	0
PIP3%0	2	12	0	7	3
