	loss_TP	loss_TN	gain_TP	gain_TN	na
SRC%1	0	0	0	0	0
CSK%1	0	0	0	0	0
CHUK%1	0	0	0	0	0
RAC_f%1	0	0	0	0	0
DUSP1%0	0	0	0	0	0
TGFBR2%1	0	0	0	0	0
ILR_f%1	0	0	0	0	0
SYK%1	0	0	0	0	0
IRAK1%1	0	0	0	0	0
SHC1%0	0	1	0	0	0
JAK_f%1	0	1	0	0	0
CBPp300_c%1	0	0	0	0	0
SKP2%1	0	0	0	0	0
TP53%0	0	0	0	0	0
SMAD7%1	0	0	0	1	0
SMAD6%0	0	0	0	0	0
DKK_f%0	0	0	0	0	0
TCF7_f%0	0	1	0	0	0
DKK_g%0	0	0	0	0	0
MYC%1	0	1	0	0	0
CCND1%1	0	0	0	3	0
EGR1%1	0	1	0	0	0
MMP_f%1	0	0	0	0	0
PTEN_g%1	0	1	0	0	0
RTPK_f%1	0	0	0	0	0
CTNNB1%1	0	0	0	0	0
LEF1%1	0	0	0	0	0
SFRP1%0	0	0	0	0	0
FZD_f%1	0	0	0	0	0
CASP8%0	0	0	0	2	0
REL_f%1	0	0	0	0	0
NFKB_f%1	0	0	0	0	0
DVL_f%1	0	0	0	0	0
LRP_f%1	0	0	0	0	0
BTRC%0	0	0	0	0	0
CK1_f%0	0	0	0	0	0
AXIN1%0	0	0	0	0	0
mTORC2_c%1	0	0	0	0	0
PDPK1%1	0	0	0	0	0
MEK_f%1	0	1	0	1	0
CYCS%0	0	0	0	0	0
CASP9%0	0	0	0	0	0
GSK3_f%0	0	0	0	0	0
IRS1%0	0	0	0	0	0
MDM2%1	0	0	0	0	0
AKT_f%1	3	0	1	7	0
BCL2%1	0	0	0	0	0
RAF_f%1	0	1	0	1	0
mTORC1_c%1	2	0	0	2	1
RHEB%1	0	0	0	0	0
RTPK_g%0	0	0	1	0	0
PTEN%1	0	1	0	0	0
CASP3%0	0	0	0	2	0
PIK3CA%1	0	0	0	4	0
CREBBP%1	0	0	0	0	0
PTPN11%0	0	0	0	0	0
KRAS%1	0	0	0	5	0
MAP2K4%1	0	0	0	0	0
MAP2K7%1	0	0	0	0	0
MAPK14%1	0	0	0	0	0
JNK_f%1	0	0	0	0	0
MAP2K3%1	0	0	0	0	0
ERK_f%1	0	1	0	7	0
LIF%1	0	0	0	0	0
PPP1CA%0	0	0	1	0	0
GAB_f%0	0	0	0	0	0
SOS1%1	0	0	0	5	0
PRKCA%1	0	0	0	0	0
VAV1%1	0	0	0	0	0
PLCG1%1	0	0	0	5	0
PRKCD%1	0	0	0	0	0
RSK_f%1	1	1	0	9	0
S6K_f%1	2	1	0	0	1
PLK1%1	0	0	0	0	0
ILK%1	0	0	0	0	0
SOCS1%0	0	0	0	0	0
DUSP6%1	0	0	0	0	0
STAT3%1	0	0	0	0	0
LIMK2%0	0	0	0	0	0
EP300%1	0	0	0	1	0
STAT1%0	2	1	0	6	0
IKBKB%1	0	1	0	0	0
SRF%1	0	0	0	0	0
PIAS1%1	2	1	0	6	0
TRAF6%1	0	0	0	0	0
SOCS1_g%0	0	0	0	0	0
ISGF3_c%0	2	1	0	6	0
STAT2%1	0	1	0	0	0
CFLAR%1	0	0	0	2	0
SMAD2%0	0	0	0	0	0
MDM2_g%1	0	0	0	0	0
BAX%0	0	0	0	0	0
PRKACA%1	0	0	0	0	0
TGFB1%1	0	0	0	0	0
MAP3K8%1	0	1	0	1	0
TSC_f%0	0	0	0	0	0
SMAD4%0	0	0	0	0	0
BAD%0	0	0	0	0	0
MAP3K5%0	0	0	0	0	0
AKT1S1%0	2	0	0	2	1
SKI%0	0	0	0	1	0
SMAD3%1	0	0	0	0	0
MAPKAPK2%1	2	1	0	6	0
DUSP1_g%1	0	0	0	0	0
MSK_f%1	0	0	0	0	0
GRAP2%0	0	0	0	0	0
TAB_f%1	0	0	0	0	0
ATF2%1	0	0	0	0	0
SMAD5%0	0	0	0	0	0
SMAD1%0	0	0	0	0	0
FOS%1	0	0	0	0	0
JUN%1	0	0	0	0	0
MAP3K7%1	0	0	0	0	0
NLK%1	0	1	0	7	0
SMAD7_g%0	0	0	0	0	0
SMAD6_g%0	0	0	0	0	0
AP1_c%1	0	0	0	0	0
ACVR1%0	0	0	0	0	0
PTPN6%1	0	0	0	0	0
CDC42%1	0	0	0	0	0
GRB2%0	0	1	0	0	0
TGFBR1%1	0	0	0	0	0
SMURF1%1	0	0	0	1	0
SMURF2%1	0	0	0	0	0
RHOA%0	0	0	0	0	0
BMPR2%0	0	0	0	0	0
PARD6A%1	0	0	0	0	0
DAAM1%1	0	0	0	0	0
SFRP1_g%0	0	0	0	0	0
PPM1A%1	0	0	0	0	0
CFL_f%1	0	0	0	0	0
PAK1%1	0	0	0	0	0
MAP3K11%1	0	0	0	0	0
MAP3K4%1	0	0	0	0	0
LIMK1%1	0	0	0	0	0
ROCK1%0	0	0	0	1	0
ITCH%1	0	1	0	0	0
ARHGAP24%0	0	0	0	0	0
TIAM1%1	0	0	0	0	0
RND3%0	0	0	0	0	0
MAPK8IP3%0	0	0	0	1	1
MXD1%0	0	1	0	0	0
PIP3%1	3	0	0	7	0
