	loss_TP	loss_TN	gain_TP	gain_TN	na
SRC%0	0	0	0	0	0
CSK%0	0	0	0	0	0
CHUK%0	0	0	0	0	0
RAC_f%0	0	0	0	0	1
DUSP1%1	0	0	0	3	0
TGFBR2%0	0	0	0	0	0
ILR_f%0	4	22	0	22	3
SYK%0	4	17	0	21	1
IRAK1%0	0	12	2	4	0
SHC1%1	0	0	0	5	0
JAK_f%0	2	1	0	6	0
CBPp300_c%0	0	0	0	0	0
SKP2%0	0	0	0	3	0
TP53%1	0	0	0	0	0
SMAD7%0	4	113	0	0	29
SMAD6%1	0	0	0	0	0
DKK_f%1	0	0	0	0	0
TCF7_f%1	0	0	0	5	0
DKK_g%1	0	0	0	0	0
MYC%0	0	0	0	7	0
CCND1%0	0	0	0	6	0
EGR1%0	0	0	0	2	0
MMP_f%0	4	112	0	0	27
PTEN_g%0	0	0	0	2	0
RTPK_f%0	4	1	0	26	0
CTNNB1%0	0	14	0	0	3
LEF1%0	0	13	0	0	3
SFRP1%1	0	0	0	0	0
FZD_f%0	0	0	0	0	0
CASP8%1	0	1	0	0	1
REL_f%0	0	0	0	0	0
NFKB_f%0	0	0	0	0	0
DVL_f%0	0	0	0	0	0
LRP_f%0	0	0	0	0	0
BTRC%1	0	0	0	0	0
CK1_f%1	0	0	0	0	0
AXIN1%1	0	0	0	0	0
mTORC2_c%0	1	0	1	10	0
PDPK1%0	4	1	0	23	0
MEK_f%0	4	22	0	13	7
CYCS%1	0	1	0	0	1
CASP9%1	0	1	0	0	1
GSK3_f%1	0	10	0	6	5
IRS1%1	0	0	0	4	0
MDM2%0	0	0	0	0	0
AKT_f%0	4	11	0	17	5
BCL2%0	0	0	0	0	0
RAF_f%0	0	25	0	0	7
mTORC1_c%0	0	10	0	1	5
RHEB%0	0	10	0	1	5
RTPK_g%1	0	0	0	0	0
PTEN%0	3	0	0	8	0
CASP3%1	0	1	0	0	1
PIK3CA%0	4	11	0	16	5
CREBBP%0	0	0	0	0	0
PTPN11%1	0	0	0	5	0
KRAS%0	4	25	0	16	7
MAP2K4%0	0	0	0	0	1
MAP2K7%0	0	0	0	1	1
MAPK14%0	2	0	1	6	0
JNK_f%0	0	0	0	3	0
MAP2K3%0	0	0	0	0	0
ERK_f%0	2	4	0	21	0
LIF%0	0	0	0	0	0
PPP1CA%1	4	1	0	23	0
GAB_f%1	0	0	0	5	0
SOS1%0	4	17	0	21	1
PRKCA%0	0	0	0	0	0
VAV1%0	0	0	0	0	0
PLCG1%0	4	17	0	21	1
PRKCD%0	0	0	0	0	0
RSK_f%0	4	3	0	18	0
S6K_f%0	0	0	0	2	0
PLK1%0	0	4	0	0	0
ILK%0	0	0	0	0	0
SOCS1%1	0	12	2	4	0
DUSP6%0	0	1	0	7	0
STAT3%0	0	16	0	6	0
LIMK2%1	0	0	0	0	0
EP300%0	0	0	0	0	0
STAT1%1	2	12	2	9	0
IKBKB%0	0	11	0	0	5
SRF%0	0	0	0	0	0
PIAS1%0	2	12	2	9	0
TRAF6%0	1	3	0	18	0
SOCS1_g%1	0	12	2	4	0
ISGF3_c%1	2	1	0	6	0
STAT2%0	2	1	0	6	0
CFLAR%0	0	1	0	0	1
SMAD2%1	0	0	0	0	0
MDM2_g%0	0	0	0	0	0
BAX%1	0	0	0	0	0
PRKACA%0	0	0	0	0	0
TGFB1%0	0	0	0	0	0
MAP3K8%0	0	11	0	0	5
TSC_f%1	0	10	0	1	5
SMAD4%1	0	0	0	1	0
BAD%1	0	0	0	0	0
MAP3K5%1	0	0	0	0	0
AKT1S1%1	0	10	0	1	5
SKI%1	0	0	0	0	0
SMAD3%0	0	0	0	0	1
MAPKAPK2%0	2	12	2	9	0
DUSP1_g%0	0	0	0	0	0
MSK_f%0	0	0	0	0	0
GRAP2%1	0	0	0	0	0
TAB_f%0	0	3	0	16	0
ATF2%0	0	0	0	0	0
SMAD5%1	0	0	0	0	0
SMAD1%1	0	0	0	0	0
FOS%0	0	0	0	0	1
JUN%0	0	0	0	0	0
MAP3K7%0	0	3	0	16	0
NLK%0	0	2	0	12	0
SMAD7_g%1	0	0	0	1	0
SMAD6_g%1	0	0	0	0	0
AP1_c%0	1	2	1	10	1
ACVR1%1	0	0	0	0	0
PTPN6%0	0	0	0	0	0
CDC42%0	0	0	0	0	0
GRB2%1	0	0	0	5	0
TGFBR1%0	0	0	0	0	0
SMURF1%0	0	1	0	1	2
SMURF2%0	0	0	0	0	0
RHOA%1	0	1	0	0	1
BMPR2%1	0	0	0	0	0
PARD6A%0	0	0	0	0	0
DAAM1%0	0	0	0	0	0
SFRP1_g%1	0	0	0	0	0
PPM1A%0	0	0	0	0	0
CFL_f%0	0	0	0	0	0
PAK1%0	0	0	0	0	0
MAP3K11%0	0	0	0	0	0
MAP3K4%0	0	0	0	0	0
LIMK1%0	0	0	0	0	0
ROCK1%1	0	1	0	0	1
ITCH%0	0	0	0	2	0
ARHGAP24%1	0	0	0	1	1
TIAM1%0	0	0	0	0	0
RND3%1	0	0	0	0	0
MAPK8IP3%1	0	0	0	0	0
MXD1%1	0	0	0	7	0
PIP3%0	4	11	0	17	5
