Node	HGNC.symbols	ClosenessCentrality	BetweennessCentrality	Indegree	Outdegree	NeighborhoodConnectivity	Shortest_distance_target	Shortest_distance_output	PCI	Outdegree.inhibit	Outdegree.activate	Indegree.inhibit	Indegree.activate	ClusteringCoefficient	AverageShortestPathLength
ACVR1	ACVR1	0.18238994	0.00711207	1.0	4.0	8.4	0.0	5.0	0.017942643828012	0	4	0	1	0.0	5.48275862
AKT_f	AKT1, AKT2, AKT3	0.29835391	0.16905512	4.0	13.0	5.941176471	0.0	2.0	0.0749544638857577	9	4	1	3	0.02205882	3.35172414
AKT1S1	AKT1S1	0.18782383	0.00685607	1.0	1.0	11.5	2.0	4.0	0.0140978889249671	1	0	1	0	0.0	5.32413793
Antisurvival										0	0	0	3	0.0	0.0
AP1_c	JUN, FOS, ATF2, SMAD3, SMAD4	0.15726681	0.07017606	5.0	1.0	8.0	2.0	5.0	0.0286521723362121	0	1	0	5	0.03333333	6.35862069
ARHGAP24	ARHGAP24	0.17923362	0.00655659	1.0	2.0	7.333333333	3.0	6.0	0.0131780874568667	2	0	0	1	0.0	5.57931034
ATF2	ATF2	0.13679245	0.00558488	3.0	1.0	13.25	3.0	6.0	0.0125842151673042	0	1	0	3	0.0	7.31034483
AXIN1	AXIN1	0.21641791	0.05644737	4.0	2.0	8.5	2.0	5.0	0.0235624189596811	1	1	3	1	0.1	4.62068966
BAD	BAD	0.11827080000000001	0.01026438	2.0	1.0	10.0	5.0	5.0	0.0174109680933529	1	0	2	0	0.0	8.45517241
BAX	BAX	0.13278388	0.00579158	1.0	1.0	6.0	4.0	4.0	0.0124917426035608	0	1	0	1	0.0	7.53103448
BCL2	BCL2	0.13314968	0.01045595	1.0	1.0	3.0	4.0	4.0	0.0157437512135803	1	0	1	0	0.0	7.51034483
BMPR2	BMPR2	0.15508021	0.0069205	2.0	1.0	6.0	1.0	6.0	0.0167992671318986	0	1	2	0	0.0	6.44827586
BTRC	BTRC	0.14271654	0.02698979	4.0	1.0	6.8	1.0	4.0	0.0209052264776808	1	0	1	3	0.15	7.00689655
CASP3	CASP3	0.21577381	0.06195503	2.0	3.0	4.8	1.0	1.0	0.0538133966077393	0	3	0	2	0.0	4.63448276
CASP8	CASP8	0.17879162	0.01266257	1.0	1.0	4.0	2.0	2.0	0.0188018956390068	0	1	1	0	0.0	5.59310345
CASP9	CASP9	0.17857143	0.04215645	2.0	1.0	5.333333333	2.0	2.0	0.0351388888673566	0	1	0	2	0.0	5.6
CBPp300_c	CREBBP, EP300	0.1962111	0.02528894	3.0	3.0	7.0	1.0	5.0	0.0230615302993654	1	2	1	2	0.03333333	5.09655172
CCND1	CCND1	0.16743649	0.02153812	3.0	2.0	7.2	3.0	1.0	0.0167314531840835	0	2	0	3	0.05	5.97241379
CDC42	CDC42	0.17747858	0.00969317	2.0	1.0	5.0	2.0	5.0	0.0142489227508161	0	1	1	1	0.0	5.63448276
CFL_f	CFL1, CFL2	0.12414384	0.01869979	2.0	1.0	3.333333333	5.0	8.0	0.0206000326315521	0	1	0	2	0.0	8.05517241
CFLAR	CFLAR	0.15263158	0.012471	2.0	1.0	8.0	3.0	3.0	0.0190509045399666	1	0	1	1	0.0	6.55172414
CHUK	CHUK	0.17923362	0.04662871	3.0	3.0	6.0	1.0	4.0	0.0298885668899859	0	3	0	3	0.0	5.57931034
CK1_f	CSNK1A1, CSNK1D, CSNK1E	0.12554113	0.0	1.0	1.0	6.5	0.0	5.0	0.0114051827011243	0	1	1	0	0.5	7.96551724
CREBBP	CREBBP	0.16496018	0.00957771	1.0	1.0	6.0	2.0	6.0	0.0137470650725251	0	1	0	1	0.0	6.06206897
CSK	CSK	0.18216079999999998	0.03025879	1.0	1.0	5.5	2.0	4.0	0.0209485714428079	1	0	0	1	0.0	5.48965517
CTNNB1	CTNNB1	0.16552511	0.05082205	2.0	2.0	4.75	0.0	3.0	0.0347442388849589	0	2	1	1	0.0	6.04137931
CYCS	CYCS	0.15231092	0.02338355	2.0	1.0	2.333333333	3.0	3.0	0.0264410676559369	0	1	1	1	0.0	6.56551724
DAAM1	DAAM1	0.14948454	0.00415203	1.0	1.0	6.0	2.0	7.0	0.0120159811342597	0	1	0	1	0.0	6.68965517
DKK_f	DKK1, DKK2, DKK3, DKK4	0.15658747	0.02002839	1.0	1.0	5.5	2.0	6.0	0.0181176430462064	1	0	0	1	0.0	6.3862069
DKK_g	DKK1, DKK2, DKK3, DKK4	0.13602251	0.01983682	2.0	1.0	5.333333333	3.0	7.0	0.0194807015874934	0	1	1	1	0.16666667	7.35172414
DUSP1	DUSP1	0.24617997	0.0561306	4.0	2.0	7.6	1.0	4.0	0.040609653583444	2	0	1	3	0.1	4.06206897
DUSP1_g	DUSP1	0.19808743	0.00352393	2.0	1.0	14.0	2.0	5.0	0.0138499666775469	0	1	0	2	0.33333333	5.04827586
DUSP6	DUSP6	0.23052464	0.00634579	2.0	1.0	13.5	2.0	3.0	0.0157754254724854	1	0	0	2	0.0	4.33793103
DVL_f	DVL1, DVL2, DVL3	0.22342065	0.06173248	3.0	3.0	7.166666667	1.0	3.0	0.0299652644862091	1	2	1	2	0.03333333	4.47586207
EGR1	EGR1	0.15327696	0.00992816	1.0	1.0	4.0	2.0	6.0	0.01639599827945	0	1	1	0	0.0	6.52413793
EP300	EP300	0.24207012	0.03627408	3.0	4.0	8.571428571	2.0	5.0	0.0198936637671999	0	4	2	1	0.07142857	4.13103448
ERK_f	MAPK3, MAPK1	0.29896907	0.10407377	3.0	20.0	7.333333333	1.0	2.0	0.0394237738622951	9	11	2	1	0.02619048	3.34482759
FOS	FOS	0.16219239	0.03892256	3.0	3.0	8.166666667000001	3.0	6.0	0.0326848325337281	0	3	0	3	0.06666667	6.16551724
FOXO_f	FOXO1, FOXO3, FOXO4	0.17427885	0.01542668	2.0	2.0	6.25	3.0	1.0	0.0201575891715164	0	2	2	0	0.0	5.73793103
FZD_f	FZD1, FZD2, FZD3, FZD4, FZD5, FZD6, FZD7, FZD8, FZD9, FZD10	0.19205298	0.02187044	1.0	2.0	5.333333333	2.0	4.0	0.0243961603788924	0	2	1	0	0.0	5.20689655
GAB_f	GAB1, GAB2	0.17747858	0.02015249	2.0	2.0	7.75	1.0	5.0	0.0201215926911118	0	2	1	1	0.0	5.63448276
GRAP2	GRAP2	0.19917582	0.00319087	1.0	2.0	8.666666667000001	2.0	5.0	0.0133555495465865	0	2	1	0	0.16666667	5.02068966
GRB2	GRB2	0.15969163	0.02402231	1.0	2.0	4.666666667	2.0	6.0	0.0206297483961446	0	2	0	1	0.0	6.26206897
GSK3_f	GSK3A, GSK3B	0.24086379	0.05965042	6.0	8.0	10.0	0.0	2.0	0.0265691157300278	5	3	6	0	0.05494505	4.15172414
IKBKB	IKBKB	0.21706587	0.06206252	4.0	6.0	5.9	0.0	3.0	0.0310423537427406	2	4	3	1	0.02222222	4.60689655
ILK	ILK	0.23162939	0.01408847	1.0	1.0	10.5	1.0	3.0	0.0166312843435391	0	1	0	1	0.0	4.31724138
ILR_f	LIFR, IL6ST, IL6R	0.18494898	0.08662531	2.0	4.0	4.5	1.0	4.0	0.0560352151725786	0	4	0	2	0.0	5.40689655
IRAK1	IRAK1	0.17945545	0.03130608	2.0	2.0	6.25	1.0	3.0	0.0153554980088378	0	2	1	1	0.0	5.57241379
IRS1	IRS1	0.16998828	0.00441383	3.0	1.0	10.75	1.0	5.0	0.014255404115912	0	1	3	0	0.0	5.88275862
ISGF3_c	STAT1, STAT2	1.0	0.00248761	2.0	1.0	4.666666667			0.00787175206978419	0	1	0	2	0.0	1.0
ITCH	ITCH	0.23848684	0.0304584	1.0	4.0	8.0	2.0	4.0	0.018741369587698002	3	1	0	1	0.0	4.19310345
JAK_f	JAK1, JAK2	0.17099057	0.03681397	3.0	3.0	5.666666667	0.0	3.0	0.0263549198721749	0	3	2	1	0.0	5.84827586
JNK_f	MAPK8, MAPK9	0.22727273	0.07263839999999999	4.0	6.0	6.7	0.0	3.0	0.0396790744951194	0	6	1	3	0.0	4.4
JUN	JUN	0.14917695	0.00844303	2.0	2.0	8.5	3.0	6.0	0.0139338601076668	0	2	1	1	0.0	6.70344828
KRAS	KRAS	0.20110957	0.02647691	2.0	2.0	4.25	1.0	5.0	0.0272608741795335	0	2	0	2	0.0	4.97241379
LEF1	LEF1	0.17344498	0.0182639	1.0	1.0	3.5	3.0	5.0	0.0145247604273413	0	1	0	1	0.0	5.76551724
LIF	LIF	0.15709642	0.00931323	1.0	1.0	6.0	2.0	5.0	0.0135063008897301	0	1	0	1	0.0	6.36551724
LIMK1	LIMK1	0.11111111	0.00790699	2.0	1.0	7.333333333	6.0	9.0	0.012492797782703	0	1	0	2	0.0	9.0
LIMK2	LIMK2	0.11111111	0.00365678	2.0	1.0	6.333333333	6.0	9.0	0.0111118074908784	0	1	1	1	0.0	9.0
LRP_f	LRP5, LRP6	0.18447837	0.04394144	5.0	3.0	8.125	1.0	5.0	0.0333904892898625	3	0	1	4	0.03571429	5.42068966
MAP2K3	MAP2K3	0.23577236	0.01901105	2.0	1.0	8.0	1.0	4.0	0.021930459305419	0	1	0	2	0.0	4.24137931
MAP2K4	MAP2K4	0.24659864	0.046614300000000004	4.0	2.0	6.5	1.0	4.0	0.0326494088873411	0	2	0	4	0.03333333	4.05517241
MAP2K7	MAP2K7	0.18685567	0.01601644	3.0	1.0	5.25	1.0	4.0	0.0195358699096626	0	1	0	3	0.0	5.35172414
MAP3K11	MAP3K11	0.19917582	0.01225014	1.0	1.0	8.0	2.0	5.0	0.0138020775964277	0	1	0	1	0.0	5.02068966
MAP3K4	MAP3K4	0.19917582	0.01225014	1.0	1.0	8.0	2.0	5.0	0.0138020775964277	0	1	0	1	0.0	5.02068966
MAP3K5	MAP3K5	0.19205298	0.01236037	1.0	1.0	10.0	2.0	5.0	0.015084660040193999	0	1	1	0	0.0	5.20689655
MAP3K7	MAP3K7	0.23731588	0.03312964	1.0	5.0	4.833333333	0.0	3.0	0.0280723376274776	0	5	0	1	0.0	4.213793099999999
MAP3K8	MAP3K8	0.20655271	0.01398716	1.0	1.0	7.0	1.0	4.0	0.0153203741560723	0	1	0	1	0.0	4.84137931
MAPK14	MAPK14	0.30655391	0.10917044	3.0	14.0	7.0	0.0	3.0	0.0606963970358957	4	10	1	2	0.01666667	3.26206897
