#Node	AGS	AGS_rank	COLO205	COLO205_rank	SW620	SW620_rank	DU145	DU145_rank	allCells	anyCells
SRC	1	114	1	1	0	0	1	29	0	1
CSK	0	0	0	0	0	0	0	0	0	0
CHUK	1	117	1	0	0	0	1	119	0	1
RAC_f	1	24	0	0	1	0	1	12	0	1
DUSP1	1	38	1	8	1	2	0	0	0	1
TGFBR2	0	0	0	0	0	0	1	8	0	1
ILR_f	1	21	1	10	1	48	1	8	1	1
SYK	0	0	0	0	1	42	0	0	0	1
IRAK1	1	21	1	10	1	18	1	2	1	1
SHC1	1	7	1	25	1	6	1	124	1	1
JAK_f	0	0	0	0	1	10	1	4	0	1
CBPp300_c	0	0	0	0	0	0	0	0	0	0
SKP2	1	11	1	11	1	2	0	0	0	1
TP53	0	0	0	0	0	0	0	0	0	0
SMAD7	1	33	1	35	1	118	1	12	1	1
SMAD6	0	0	0	0	0	0	1	0	0	1
DKK_f	1	136	1	17	0	0	1	14	0	1
TCF7_f	1	135	1	3	1	6	1	17	1	1
DKK_g	1	136	1	17	0	0	1	14	0	1
MYC	1	23	1	5	1	8	1	10	1	1
CCND1	0	0	1	6	1	8	1	6	0	1
EGR1	0	0	0	0	1	3	0	0	0	1
MMP_f	1	33	1	24	1	116	1	5	1	1
PTEN_g	0	0	0	0	1	3	0	0	0	1
RTPK_f	1	59	1	29	1	30	1	29	1	1
CTNNB1	1	114	1	5	1	14	1	17	1	1
LEF1	1	1	1	6	1	13	1	1	1	1
SFRP1	0	0	0	0	0	0	0	0	0	0
FZD_f	0	0	0	0	0	0	0	0	0	0
CASP8	0	0	0	0	1	2	1	10	0	1
REL_f	0	0	0	0	0	0	0	0	0	0
NFKB_f	0	0	0	0	0	0	0	0	0	0
DVL_f	0	0	0	0	0	0	0	0	0	0
LRP_f	1	136	1	17	0	0	1	14	0	1
BTRC	0	0	0	0	0	0	0	0	0	0
CK1_f	0	0	0	0	0	0	0	0	0	0
AXIN1	1	136	1	17	0	0	1	14	0	1
mTORC2_c	0	0	0	0	1	12	0	0	0	1
PDPK1	1	30	1	14	1	27	1	11	1	1
MEK_f	1	27	1	16	1	41	1	26	1	1
CYCS	0	0	0	0	1	1	1	2	0	1
CASP9	0	0	0	0	1	1	1	2	0	1
GSK3_f	1	30	1	29	1	16	1	26	1	1
IRS1	0	0	0	0	1	4	0	0	0	1
MDM2	0	0	0	0	0	0	0	0	0	0
AKT_f	1	25	1	20	1	42	1	24	1	1
BCL2	0	0	0	0	0	0	0	0	0	0
RAF_f	1	40	1	25	1	27	1	124	1	1
mTORC1_c	1	13	1	12	1	15	1	14	1	1
RHEB	1	12	1	12	1	11	1	13	1	1
RTPK_g	0	0	1	1	1	1	1	1	0	1
PTEN	1	119	1	25	1	12	1	125	1	1
CASP3	0	0	0	0	1	2	1	10	0	1
PIK3CA	1	21	0	0	1	35	1	21	0	1
CREBBP	0	0	0	0	0	0	0	0	0	0
PTPN11	0	0	1	25	1	5	1	124	0	1
KRAS	1	40	1	25	1	50	1	124	1	1
MAP2K4	0	0	0	0	1	0	1	12	0	1
