mutated_node	node_ko	drugs	growth	nb_fixpoints	stable_state
SRC%0	MAP3K7%0	5Z	n/a	0	-
SRC%0	AKT_f%0	AK	n/a	0	-
SRC%0	MAPK14%0	BI	n/a	0	-
SRC%0	GSK3_f%0	CT	n/a	0	-
SRC%0	MEK_f%0	PD	n/a	0	-
SRC%0	PIK3CA%0	PI	n/a	0	-
SRC%0	CTNNB1%0	PK	n/a	0	-
SRC%0	JNK_f%0	JN	n/a	0	-
SRC%0	RSK_f%0	D1	n/a	0	-
SRC%0	IKBKB%0	60	n/a	0	-
SRC%0	TGFBR1%0,ACVR1%0	SB	1.0	1	01113101110001000111111010111011111011011100001011012111110111001110011111101111110111011000010101010111001111000101100000000001101011111110101100
SRC%0	JAK_f%0	RU	n/a	0	-
SRC%0	CK1_f%0,TGFBR1%0	D4	n/a	0	-
SRC%0	MYC%0	F4	2.0	1	01112101111001001101101010111100110011101100001111110000111111001110111111111111100111011001110101010000101111010101111110110000100101111100010001
SRC%0	STAT3%0	ST	n/a	0	-
SRC%0	PDPK1%0	G2	1.0	1	01111101111011001101101010111100110011110100001111110000111111001110111110000111111111011001110101010000101111010101111110110000100101111100010011
SRC%0	ROCK1%0	G4	3.0	1	01113101111001001101111010111010111011101100001111110000111111001110111111111111100111011001110101010000101111010101111110110001101001111100010001
SRC%0	SYK%0	P5	n/a	0	-
SRC%0	MAP3K7%0,AKT_f%0	5Z-AK	n/a	0	-
SRC%0	MAP3K7%0,MAPK14%0	5Z-BI	n/a	0	-
SRC%0	MAP3K7%0,GSK3_f%0	5Z-CT	n/a	0	-
SRC%0	MAP3K7%0,MEK_f%0	5Z-PD	n/a	0	-
SRC%0	MAP3K7%0,PIK3CA%0	5Z-PI	n/a	0	-
SRC%0	MAP3K7%0,CTNNB1%0	5Z-PK	n/a	0	-
SRC%0	MAP3K7%0,JNK_f%0	5Z-JN	n/a	0	-
SRC%0	MAP3K7%0,RSK_f%0	5Z-D1	n/a	0	-
SRC%0	MAP3K7%0,IKBKB%0	5Z-60	n/a	0	-
SRC%0	MAP3K7%0,TGFBR1%0,ACVR1%0	5Z-SB	0.0	1	01113101110001000121111010111011111011011100001011013111110111001110011111101111110101011000010100010111001111000100000000000001101011111110101100
SRC%0	MAP3K7%0,JAK_f%0	5Z-RU	n/a	0	-
SRC%0	MAP3K7%0,CK1_f%0,TGFBR1%0	5Z-D4	n/a	0	-
SRC%0	MAP3K7%0,MYC%0	5Z-F4	1.0	1	01112101111001001111101010111100110011101100001111111100111111000110111111111111100101011001110100010000101111010100011110110000100101111100010001
SRC%0	MAP3K7%0,STAT3%0	5Z-ST	n/a	0	-
