node_ko	drugs	growth	nb_fixpoints	stable_state
MAP3K7%0	5Z	2.0	1	11113011111111001111111010111010111011101100001111111100111111110110101111111101101001110011110110010000011100110110011111111001111001111111101101
AKT_f%0	AK	0.0	1	11113011111101000121111010111011111011111100001011013101111111111110101111101101100001110010010110010111011100100110000111111001111001111111101101
MAPK14%0	BI	2.0	1	11113011101111001000011111111010001100001100001111111000111111011110101111111111101111011111100111010000001111010111111111111001111001111111101101
GSK3_f%0	CT	2.0	1	11113011111111001111111010111010111011101100001111111100111111110110101111111101101001110011110110010000011100110110011111111001111001111111101101
MEK_f%0	PD	1.0	1	11112111111110001111111010111010111011101000001111111100111111110010111111011101101001110011110110010000011100110110011111111001111001111111101101
PIK3CA%0	PI	0.0	1	11113011111101000121111010111011111011101100001011013101011111111110101111101101100001110010010110010111011100100110000111111001111001111111101100
CTNNB1%0	PK	2.0	1	11113011111111001010011111100010111100001100001111111100111111110110101111111101101001110011110110010000011100110110011111111001111001111111101101
JNK_f%0	JN	2.0	1	11113001111111001111111010111010111011101100001111111100111111100110101111111101101001110011110100010000011100110100011011110001101001111110101101
RSK_f%0	D1	1.0	1	11112011111111001111111010111010111011101100001111111100111111110110101111011101101001110011110110010000011100110110011111111001111001111111101101
IKBKB%0	60	2.0	1	11113011111111001111111010111010111011101100001111111100111111110110101111111101101001110011110110010000011100110110011111111001111001111111101101
TGFBR1%0,ACVR1%0	SB	2.0	1	11113011111111001111111010111010111011101100001111111100111111110110101111111101101001110011110110010000011100100110011101110001111001111111101101
JAK_f%0	RU	2.0	1	11113011111011001111111010111010111011101100001111111100111111110110101111111101101001110001110110010000011100110110011111111001111001111111101101
CK1_f%0,TGFBR1%0	D4	2.0	1	11113011111111001111111010111010111010101100001111111100111111110110101111111101101001110011110110010000011100110110011111110001111001111111101101
MYC%0	F4	1.0	1	11112011111111001111101010111100110011101100001111111100111110110110101111111101101001110011110110010000011100110110011111111000110101111101010001
STAT3%0	ST	2.0	1	11113011111111001111111010111010111011101100001111111100111111110110101111111101001001110011110110010000011100110110011111111001111001111111101101
PDPK1%0	G2	0.0	1	11111011111111001111101010111100110011110100001111111100111110110110101110001101101001110011110110010000011100110110011111111000110101111101010011
ROCK1%0	G4	2.0	1	11113011111111001111111010111010111011101100001111111100111110110110101111111101101001110011110110010000011100110110011111111001111001111101010001
SYK%0	P5	2.0	1	11113011011111001111111010111010111011101100001111111100111111110110100001111101101001110011110110010000011100110110011111111001111001111111101101
MAP3K7%0,AKT_f%0	5Z-AK	0.0	1	11113011111101000121111010111011111011111100001011013101111111111110101111101101100001110010010110010111011100100110000111111001111001111111101101
MAP3K7%0,MAPK14%0	5Z-BI	1.0	1	11113011101111001111111010111010001011101100001111112100111111010110101111111111101101011111100110010000001111010110011111111001111001111111101101
MAP3K7%0,GSK3_f%0	5Z-CT	2.0	1	11113011111111001111111010111010111011101100001111111100111111110110101111111101101001110011110110010000011100110110011111111001111001111111101101
MAP3K7%0,MEK_f%0	5Z-PD	1.0	1	11112111111110001111111010111010111011101000001111111100111111110010111111011101101001110011110110010000011100110110011111111001111001111111101101
