node_ko	drugs	growth	nb_fixpoints	stable_state
MAP3K7%0	5Z	2.0	1	11113011111111010111111010111010111001111100001111111100111110110110111111111101101001110011010110000000111101100110000101111110011001111101010001
AKT_f%0	AK	1.0	2	11103011110101000010011111111011111100011100001011012111110111111110011111101001110011110010010111000111111101101111100111001000111011000111101101;11103011110101010010011111111011111100011100001011012111110111111110011111101001110011110010010111000111111101100111100101001110011011000111101101;
MAPK14%0	BI	2.0	1	11113011100111010000011111111010001100011100001111111010110111011110011111111111101111011111000111000000101111000111100101101110011011111101010001
GSK3_f%0	CT	3.0	1	11113011110111010000011111111010111100011100001111110010110111111110011111111101101011110011010111000000111101100111100101101110011011111101010001
MEK_f%0	PD	2.0	1	11112101110110010000011111111010111100011000001111110010111111101010111111011101101011110011010101000000111101000101100101100110001011111100010001
PIK3CA%0	PI	1.0	2	11103011110101000010011111111011111100011100001011012111010111111110011111101001110011110010010111000111111101101111100111001000111011000111101100;11103011110101010010011111111011111100011100001011012111010111111110011111101001110011110010010111000111111101100111100101001110011011000111101100;
CTNNB1%0	PK	3.0	1	11113011110111010000011111100010111100011100001111110010110111111110011111111101101011110011010111000000111101100111100101101110011011111101010001
JNK_f%0	JN	3.0	1	11113001110111010000011111111010111100011100001111110010110111101110011111111101101011110011010101000000111101100101100101100110001011111100010001
RSK_f%0	D1	2.0	1	11112011110111010000011111111010111100011100001111110010110111111110011111011101101011110011010111000000111101100111100101101110011011111101010001
IKBKB%0	60	3.0	1	11113011110111010000011111111010111100011100001111110010110111111110011111111101101001110011010110000000111101100111100101101110011011111101010001
TGFBR1%0,ACVR1%0	SB	3.0	1	11113011110111010000011111111010111100011100001111110010110111111110011111111101101011110011010111000000111101100111100101100110011011111101010001
JAK_f%0	RU	3.0	1	11113011110011010000011111111010111100011100001111110010110111111110011111111101101011110001010111000000111101100111100101101110011011111101010001
CK1_f%0,TGFBR1%0	D4	3.0	1	11113011110111010000011111111010111100011100001111110010110111111110011111111101101011110011010111000000111101100111100101100110011011111101010001
MYC%0	F4	2.0	1	11112011110111010100101111111100110001011100001111110010110111111110011111111101101011110011010111000000111101100111100101101110010111111101010001
STAT3%0	ST	3.0	1	11113011110111010000011111111010111100011100001111110010110111111110011111111101001011110011010111000000111101100111100101101110011011111101010001
PDPK1%0	G2	1.0	1	11111011110111010100101111111100110001010100001111110010110111111110011110001101111011110011010111000000111101100111100101101110010111111101010011
ROCK1%0	G4	3.0	1	11113011110111010000011111111010111100011100001111110010110111111110011111111101101011110011010111000000111101100111100101101110011011111101010001
SYK%0	P5	1.0	2	11103011010101000010011111111011111100011100001010012111010011111100000001101001110011110010010111000111111101101111100111001000111011000111101100;11103011010101010010011111111011111100011100001010012111010011111100000001101001110011110010010111000111111101100111100101001110011011000111101100;
MAP3K7%0,AKT_f%0	5Z-AK	0.0	2	11103011110101000121111010111011111001011100001011013111110101111110011111101001110001110010010110000111111101101110000111001000111011000111101101;11103011110101010121111010111011111001011100001011013111110101111110011111101001110001110010010110000111111101100110000101001110011011000111101101;
MAP3K7%0,MAPK14%0	5Z-BI	1.0	1	11113011101111010111111010111010001001111100001111112100111111010110111111111111101101011111000110000000101111000110000101111110011001111101010001
MAP3K7%0,GSK3_f%0	5Z-CT	2.0	1	11113011111111010111111010111010111001111100001111111100111110110110111111111101101001110011010110000000111101100110000101111110011001111101010001
MAP3K7%0,MEK_f%0	5Z-PD	1.0	1	11112101111110010111111010111010111001111000001111111100111110100010111111011101101001110011010100000000111101000100000101110110001001111100010001
MAP3K7%0,PIK3CA%0	5Z-PI	0.6666666666666665	3	11103011110101000121111010111011111001011100001011013111010101111110011111101001110001110010010110000111111101101110000111001000111011000111101100;11103011110101010121111010111011111001011100001011013111010101111110011111101001110001110010010110000111111101100110000101001110011011000111101100;11113011111111010111111010111010111001101100001111111100011110110110111111111101101001110011010110000000111101100110000101111110011001111101010001;
MAP3K7%0,CTNNB1%0	5Z-PK	2.0	1	11113011110111010010011111100010111100011100001111111110110110110110011111111101101001110011010110000000111101100110000101101110011011111101010001
MAP3K7%0,JNK_f%0	5Z-JN	2.0	1	11113001111111010111111010111010111001111100001111111100111110100110111111111101101001110011010100000000111101100100000101110110001001111100010001
MAP3K7%0,RSK_f%0	5Z-D1	1.0	1	11112011111111010111111010111010111001111100001111111100111110110110111111011101101001110011010110000000111101100110000101111110011001111101010001
MAP3K7%0,IKBKB%0	5Z-60	2.0	1	11113011111111010111111010111010111001111100001111111100111110110110111111111101101001110011010110000000111101100110000101111110011001111101010001
MAP3K7%0,TGFBR1%0,ACVR1%0	5Z-SB	2.0	1	11113011111111010111111010111010111001111100001111111100111110110110111111111101101001110011010110000000111101100110000101110110011001111101010001
MAP3K7%0,JAK_f%0	5Z-RU	2.0	1	11113011111011010111111010111010111001111100001111111100111110110110111111111101101001110001010110000000111101100110000101111110011001111101010001
MAP3K7%0,CK1_f%0,TGFBR1%0	5Z-D4	2.0	1	11113011111111010111111010111010111000111100001111111100111110110110111111111101101001110011010110000000111101100110000101110110011001111101010001
MAP3K7%0,MYC%0	5Z-F4	1.0	1	11112011111111010111101010111100110001111100001111111100111110110110111111111101101001110011010110000000111101100110000101111110010101111101010001
MAP3K7%0,STAT3%0	5Z-ST	2.0	1	11113011111111010111111010111010111001111100001111111100111110110110111111111101001001110011010110000000111101100110000101111110011001111101010001
MAP3K7%0,PDPK1%0	5Z-G2	0.0	1	11111011111111010111101010111100110001110100001111111100111110110110111110001101111001110011010110000000111101100110000101111110010101111101010011
MAP3K7%0,ROCK1%0	5Z-G4	2.0	1	11113011111111010111111010111010111001111100001111111100111110110110111111111101101001110011010110000000111101100110000101111110011001111101010001
MAP3K7%0,SYK%0	5Z-P5	2.0	1	11113011011111010111111010111010111001111100001111111100111110110110110001111101101001110011010110000000111101100110000101111110011001111101010001
AKT_f%0,MAPK14%0	AK-BI	0.0	2	11103011100101000010011111111011001100011100001011013111110111011110011111101011110111011110000111000111101111001111100111001000111011000111101101;11103011100101010010011111111011001100011100001011013111110111011110011111101011110111011110000111000111101111000111100101001110011011000111101101;
AKT_f%0,GSK3_f%0	AK-CT	1.0	2	11103011110101000010011111111011111100011100001011012111110111111110011111101001110011110010010111000111111101101111100111001000111011000111101101;11103011110101010010011111111011111100011100001011012111110111111110011111101001110011110010010111000111111101100111100101001110011011000111101101;
AKT_f%0,MEK_f%0	AK-PD	n/a	0	-
AKT_f%0,PIK3CA%0	AK-PI	1.0	2	11103011110101000010011111111011111100011100001011012111010111111110011111101001110011110010010111000111111101101111100111001000111011000111101100;11103011110101010010011111111011111100011100001011012111010111111110011111101001110011110010010111000111111101100111100101001110011011000111101100;
AKT_f%0,CTNNB1%0	AK-PK	1.0	2	11103011110101000010011111100011111100011100001011012111110111111110011111101001110011110010010111000111111101101111100111001000111011000111101101;11103011110101010010011111100011111100011100001011012111110111111110011111101001110011110010010111000111111101100111100101001110011011000111101101;
AKT_f%0,JNK_f%0	AK-JN	2.0	1	11113001110101010010011111111010111100011100001011011110110111101110011111101101100011110011010101000111111101100101100101100110001011111100010001
AKT_f%0,RSK_f%0	AK-D1	-1.0	2	11101011110101000110101111111101111001011100001001012111110111111110011111001001110011110010010111001111111101101111100111001000111111000111101111;11101011110101010110101111111101110001011100001001012111110111111110011111001001110011110010010111001111111101100111100101001110010111000111101111;
AKT_f%0,IKBKB%0	AK-60	1.0	2	11103011110101000010011111111011111100011100001011012111110111111110011111101001110001110010010110000111111101101111100111001000111011000111101101;11103011110101010010011111111011111100011100001011012111110111111110011111101001110001110010010110000111111101100111100101001110011011000111101101;
AKT_f%0,TGFBR1%0,ACVR1%0	AK-SB	1.0	2	11103011110101000010011111111011111100011100001011012111110111111110011111101001110011110010010111000111111101100111100101000000111011000111101101;11103011110101010010011111111011111100011100001011012111110111111110011111101001110011110010010111000111111101100111100101000110011011000111101101;
AKT_f%0,JAK_f%0	AK-RU	1.0	2	11103011110001000010011111111011111100011100001011012111110111111110011111101001110011110000010111000111111101101111100111001000111011000111101101;11103011110001010010011111111011111100011100001011012111110111111110011111101001110011110000010111000111111101100111100101001110011011000111101101;
AKT_f%0,CK1_f%0,TGFBR1%0	AK-D4	1.0	2	11103011110101000010011111111011111100011100001011012111110111111110011111101001110011110010010111000111111101101111100111000000111011000111101101;11103011110101010010011111111011111100011100001011012111110111111110011111101001110011110010010111000111111101100111100101000110011011000111101101;
AKT_f%0,MYC%0	AK-F4	0.0	2	11102011110101000110101111111101111001011100001011012111110111111110011111101001110011110010010111000111111101101111100111001000111111000111101101;11102011110101010110101111111101110001011100001011012111110111111110011111101001110011110010010111000111111101100111100101001110010111000111101101;
AKT_f%0,STAT3%0	AK-ST	1.0	2	11103011110101000010011111111011111100011100001011012111110111111110011111101001010011110010010111000111111101101111100111001000111011000111101101;11103011110101010010011111111011111100011100001011012111110111111110011111101001010011110010010111000111111101100111100101001110011011000111101101;
AKT_f%0,PDPK1%0	AK-G2	-1.0	2	11101011110101000110101111111101111001010100001001012111110111111110011111001001110011110010010111001111111101101111100111001000111111000111101111;11101011110101010110101111111101110001010100001001012111110111111110011111001001110011110010010111001111111101100111100101001110010111000111101111;
AKT_f%0,ROCK1%0	AK-G4	1.0	2	11113011110101000010011111111011111100011100001011012111110111111110011111101101100011110010010111000111111101101111100111101000111011111101010001;11113011110101010010011111111011111100011100001011012111110111111110011111101101100011110010010111000111111101100111100101101110011011111101010001;
