Node	GO:0016301-kinase activity	GO:0007165-signal transduction	GO:0045893-positive regulation of transcription, DNA-templated	GO:0045944-positive regulation of transcription by RNA polymerase II	GO:0008284-positive regulation of cell proliferation	GO:0043066-negative regulation of apoptotic process	GO:0006915-apoptotic process	GO:0032991-protein-containing complex	GO:0006355-regulation of transcription, DNA-templated	GO:0000122-negative regulation of transcription by RNA polymerase II	GO:0010628-positive regulation of gene expression	GO:0042803-protein homodimerization activity	GO:0003677-DNA binding	GO:0043065-positive regulation of apoptotic process	GO:0003700-DNA-binding transcription factor activity	GO:0008285-negative regulation of cell proliferation	GO:0046777-protein autophosphorylation	GO:0046982-protein heterodimerization activity	GO:0004713-protein tyrosine kinase activity
ACVR1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AKT_f	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	1	0	0
AKT1S1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AP1_c	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0
ARHGAP24	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATF2	0	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0
AXIN1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
BAD	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
BAX	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0
BCL2	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	1	0	1	0
BMPR2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTRC	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASP3	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
CASP8	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
CASP9	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
CBPp300_c	0	1	1	1	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
CCND1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CDC42	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CFL_f	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CFLAR	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
CHUK	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
CK1_f	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CREBBP	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CSK	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
CTNNB1	0	0	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	0
CYCS	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DAAM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DKK_f	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
DKK_g	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
DUSP1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
DUSP1_g	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
DUSP6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DVL_f	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EGR1	0	0	1	1	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0
EP300	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
ERK_f	1	1	1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0
FOS	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0
FOXO_f	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0
FZD_f	0	1	1	1	0	0	0	0	1	1	0	1	0	1	0	1	0	1	0
GAB_f	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRAP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRB2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GSK3_f	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
IKBKB	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
ILK	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
ILR_f	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
IRAK1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0
IRS1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISGF3_c	0	1	1	1	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0
ITCH	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
JAK_f	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1
JNK_f	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0
JUN	0	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	0
KRAS	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LEF1	0	0	1	1	1	1	0	0	1	1	1	0	1	0	1	0	0	0	0
LIF	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
LIMK1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LIMK2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LRP_f	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
MAP2K3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MAP2K4	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
MAP2K7	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
MAP3K11	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1
MAP3K4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K5	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0
MAP3K7	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPK14	1	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0
MAPK8IP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPKAPK2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
MDM2	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0
MDM2_g	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0
MEK_f	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1
MMP_f	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
MSK_f	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mTORC1_c	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
mTORC2_c	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
MXD1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
MYC	0	0	1	1	1	1	0	1	1	1	1	0	1	0	1	0	0	0	0
NFKB_f	0	1	1	1	0	1	1	0	1	1	0	1	1	0	1	0	0	1	0
NLK	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
PAK1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0
PARD6A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDPK1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PIAS1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
PIK3CA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLCG1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLK1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
PPM1A	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
